url,path,content_type,status
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/18 Samples and Bootstrap.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/19 CLT.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/20 MLE.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/21 MAP.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/22 Naive Bayes.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/23 Logistic Regression.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/24 Deep Learning.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/restricted/ProblemSet1Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/restricted/ProblemSet2Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/restricted/ProblemSet3Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/restricted/ProblemSet4Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/restricted/ProblemSet5Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/restricted/ProblemSet6Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/04 ProblemSet1.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/01 Administrivia.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/03 CalculationRef.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectures/5a-PythonTut.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/17 StandardNormalTable.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/25 Notation.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/PracticeMidterm.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/PracticeMidtermSoln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/Extra Problems 1.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/Extra Problems 1 Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/Extra Problems 2.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/Extra Problems 2 Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/Extra Problems 3.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/Extra Problems 3 Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/restricted/MidtermSolution.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/Contest.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/PracticeFinal.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/PracticeFinalSoln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/restricted/FinalExamSolution.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdf/PracticeMidtermSoln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/stuff/intro.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/1 Counting.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/2 Combinatorics.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/3 Probability.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/4 CondProbability.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/5 Independence.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/6 RandomVariables.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/7 Variance.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/8 Poisson.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/9 Continuous.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/10 Gaussian.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/11 Joint.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/12 ContJoint.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/13 PropertiesOfJoints.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/14 Tracking.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/15 Convolution.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/16 Beta.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/17 GreatExpectations.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/18 Correlation.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/19 Samples.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/20 CLT.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/21 MaximumLikelihood.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/22 GradientAscent.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/23 MAP.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/24 NaiveBayes.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/25 LogisticRegression.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/lectureHandouts/26 DeepLearning.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/pdfs/ProblemSet1.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/restricted/PSet1Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/restricted/PSet2Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/restricted/PSet3Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/restricted/PSet4Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/restricted/PSet5Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/restricted/PSet6Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/sections/section1.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/sections/section2.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/sections/section3.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/sections/section4.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/sections/section6.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/sections/section7.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/sections/section8.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/sections/section1Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/sections/section2Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/sections/section3Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/sections/section4Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/sections/section6Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/sections/section7Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/sections/section8Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/pdfs/Administrivia.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/pdfs/CalculationRef.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/pdfs/Notation.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/pdfs/StandardNormal.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/pdfs/PracticeMidterm.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/pdfs/PracticeMidtermSoln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/restricted/Midterm.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/restricted/Contest.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/pdfs/PracticeFinal.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/pdfs/PracticeFinalSoln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/pdfs/Contest.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1182/stuff/intro.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/01_counting.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN01_counting.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/02_combinatorics.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN02_combinatorics.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/03_probability.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN03_probability.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/04_cond_bayes.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN04_cond_bayes.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/05_independence.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN05_independence.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/06_random_variables.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN06_random_variables.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/07_bernoulli_binomial.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN07_bernoulli_binomial.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/08_poisson_and_more.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN08_poisson_and_more.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/09_continuous_rv.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN09_continuous_rv.pdf,,,listed
