building_id,building_name_1,building_name_2,stories,number_of_units,year_built,building_sq_ft
352500,Merrill Lynch,WACKER PLAZA,26,,1986,
332257,,,15,,1927,
83629,,,15,135,1925,
158076,,,19,,1975,
355588,AMERICAN NATIONAL BANK,,38,,1928,
824921,Park Alexandria,,32,,2003,
358653,COSI,,20,,1910,
140394,THE WATERFORD,,24,252,1974,
59257,,,12,,1979,405400
65309,THE BREAKERS,,33,476,1988,
460959,,,13,125,1930,
868399,,,37,,1919,
301375,300 NORTH PARK TOWER,,16,160,1974,
240058,,,21,155,1974,
861865,,,23,222,1951,
834535,TRUMP TOWER,,92,,2005,
861893,,,21,313,1956,
38033,MALIBU EAST,,45,498,1974,
836307,,,19,,2005,
815894,VUE20 CONDOMINIUMS,,20,,2003,
814863,AUDITORIUM BUILDING,AUDITORIUM THEATRE,17,,1890,
874124,,,17,,1899,
883627,THE CHANDLER,,33,,2008,
861514,,,12,44,1933,
881849,,,14,,1906,
102667,,,14,,1949,
861889,,,15,248,1954,
315865,,,15,14,1928,
336598,VICTOR LAWSON YMCA,,24,,1931,
838069,COHN RESEARCH BUILDING,RUSH HOSPITAL,17,,1998,
352805,CENTURY TOWER,CORN PRODUCTS BUILDING,28,125,1930,32800
880247,,,10,,1892,
402557,PRAIRIE SHORES 4,,21,342,1959,
453812,ALGONQUIN APARTMENTS 1,,14,70,1952,
814033,BOYCE BUILDING,,13,,1912,
349416,NBC TOWER,,37,,1988,1185900
362564,235 VAN BUREN,,46,,2008,27200
318554,TOWERS CONDOMINIUM,,19,208,1974,
238463,,,11,,1926,
886028,THE MONDIAL,,14,,2007,
885961,1555 WABASH,,14,,,
885986,LEXINGTON PARK CONDOS,,35,333,2007,
814515,MID AMERICA ASSET,,12,,1979,197900
891261,,,43,3,2009,
891266,,,46,,2009,
891471,215 WEST,,50,389,2010,
482933,1700 EAST 56TH STREET,,39,368,1970,
358320,190 SOUTH LASALLE,,40,,1985,
814716,PARKING GARAGE,,11,,1990,222800
858573,,,19,92,1967,
838242,,,10,,2000,
799929,,,12,,1957,
813584,,,17,62,1972,
359036,1 QUINCY COURT,,19,,1913,
40408,SCHNEIDER APARTMENTS,,13,180,1976,
353753,BLUE CROSS-BLUE SHIELD,,30,,1899,1631600
35806,,,12,115,1957,
815084,TOKYO HOTEL,,16,,1928,64300
814767,200 WEST JACKSON,,27,,1970,
315046,RITCHIE COURT CONDOMINIUMS,,27,,1974,
814688,CITY CENTER,,22,,1927,251900
275293,,,12,104,1919,7200
858575,,,16,87,1969,
838198,,,10,,2000,
813463,,,18,66,1929,
312510,CUMMINGS HOUSE,,28,,1962,
523856,SMITH-BLAIR HOUSE,,18,205,1980,
835949,MUSEUM PARK PLACE 1,,23,,2006,
868606,,,38,,1927,
309922,,,19,50,1974,
310472,1418 N LAKE SHORE DRIVE,,30,30,1984,
485755,,,13,52,1929,
319031,,,23,,1970,
357426,200 WEST MONROE BUILDING,,23,,1973,
353242,AON CENTRE,FORMERLY AMOCO BUILDING,83,,1972,
360536,INSURANCE EXCHANGE,,22,,1928,
868395,,,21,,2006,
138395,,,23,271,1966,
61719,,,14,,1985,
813873,MC CLURG COURT CENTER,,46,,,
356814,,,20,,2004,
828055,,,25,,2005,
353189,WLS-TV (ABC),,13,,1917,
351004,MERCHANDISE MART,CHICAGO TRANSIT AUTHORITY,25,,1933,3914400
814972,,,11,,1913,
353226,JAMES R. THOMPSON CENTER,STATE OF ILLINOIS CENTER,15,,1985,
451746,,,11,174,1961,
383684,HILLARD SENIOR HOMES I AND II,,16,,1966,
352493,LAKE SIDE BANK,,16,,1966,275700
324279,50 EAST BELLEVUE,,27,144,1979,
815869,HURON POINTE,,14,140,1900,
538123,,,23,,1966,
814599,10 S RIVERSIDE PLAZA,,21,,1965,619500
358869,200 SOUTH WACKER,,41,,1981,
348832,444 N MICHIGAN,,37,,1976,531500
821450,,,10,,1929,121400
574509,,,13,65,1929,
360730,,,15,,1911,304200
866234,,,20,,,
351992,SWISSôTEL CHICAGO,,45,,1989,840600
564364,,,12,65,1964,
319406,1209 NORTH ASTOR,,14,32,1926,
348962,HAMPTON INN & SUITES,,12,,1998,
814085,PLAZA 440,,49,,1991,
323379,1122 NORTH DEARBORN,,27,125,1999,
480635,PIERCE HALL,UNIVERSITY OF CHICAGO,10,,1960,
360472,RALPH H. METCALFE FEDERAL BUILDING,,27,,1991,779100
814626,100 WEST MONROE,,22,,1927,160700
813956,HILTON GARDEN INN RIVER NORTH,,24,,1999,
821244,212 EAST,,13,,2003,13500
815090,UNION LEAGUE CLUB,,22,,1926,313300
448387,DREXEL TOWERS APARTMENTS,,14,77,1970,
875327,,,16,248,1926,
888818,ASTORIA TOWER,,31,240,2009,
891323,,,22,260,1961,
886019,PURE,,12,,2008,
891264,,,32,,2009,
886024,STAYBRIDGE SUITES,,17,206,,
891282,TALBOTT HOTEL,,17,143,1924,
355581,BRUNSWICK BUILDING,COUNTY BUILDING,35,,1965,
571651,,,10,,1948,
364637,,,12,,1905,
814632,,,13,,1912,
308832,,,20,133,1974,
14214,,,14,218,1969,
814340,LAKE-MICHIGAN BUILDING,HARVESTER BUILDING,23,,1927,
834537,,,12,,2005,
417648,,,10,127,1973,
814778,,,18,,2002,
358139,120 RIVERSIDE PLAZA,TCF BANK,21,,1965,698000
462348,,,10,150,1921,
193420,,,14,61,1924,
342661,ONTERIE CENTER,,58,600,1985,39600
366002,,,10,,1923,99000
350547,,,10,,1998,
346990,LAKE POINT TOWER,,69,,1967,
553316,QUADRANGLE HOUSE,,27,330,1970,
457917,,,10,,1949,
835946,MUSEUM POINTE,,26,,2005,
277387,2000 N LINCOLN PARK WEST,,16,,1974,
815725,TWO PRUDENTIAL PLAZA,,64,,1990,
342981,,,18,,1985,
606498,,,15,,1970,
861917,,,15,28,1932,
358774,THE ROOKERY,,11,,1886,
43711,,,16,,1968,
814911,,,11,,1911,130200
85841,,,14,,1949,
358341,NORTHERN TRUST BANK,125 SOUTH WACKER DRIVE,30,,1973,
574786,,,12,,1949,
335504,,,20,181,1964,
357025,ONE SOUTH WACKER,,40,,1982,
782533,CARGILL INC,,23,,1955,
331947,860 N LAKE SHORE DRIVE,,26,263,1953,
323872,,,19,,1957,
384744,,,17,350,1973,
814171,RIVERVIEW CONDOMINIUMS & TOWNHOUSES,WEST TOWER,32,,2004,
430484,,,14,,1957,
307051,FAULKNER HOUSE,,30,,1969,
114458,,,12,,1931,62700
861773,,,15,58,1934,
322545,ELM STREET PLAZA,,34,396,1974,11900
814169,RIVERVIEW CONDOMINIUMS & TOWNHOUSES,EAST TOWER AND HEALTH CLUB,27,,2000,
815144,MILLENIUM CENTRE,,58,,2003,
460876,,,16,158,1962,
358010,HARRIS BANK II,,38,,1974,1375400
360936,311 SOUTH WACKER,,65,,1990,
333111,CHATELAINE TOWER APARTMENTS,,21,114,1930,
281085,2020 NORTH LINCOLN PARK WEST,,39,,1971,
824920,PARVENU,,12,,2004,
833647,STATE PLACE,,24,,2004,
837923,,,15,,2002,
868623,METROPOLITAN PLANNING COUNCIL,,23,,1913,
886063,,,35,,2008,
370533,UIC PSYCHIATRIC INSTITUTE,UIC SCHOOL OF PUBLIC HEALTH,13,,1957,
880603,,,10,,1892,
357048,10 SOUTH WACKER,,40,,1987,
457225,,,11,104,1965,
813453,40 EAST OAK,,20,250,1933,156800
814554,ONE NORTH LASALLE,,48,,1930,
815493,40 EAST CEDAR,,21,75,1968,
317409,,,10,72,1925,
332431,,,10,,1997,
894281,HILTON GARDEN INN,,27,,2015,
575291,,,11,20,1963,
890048,,,35,1,2008,
886027,THE GRANVILLE,,11,,2008,
891310,,,35,,2010,
891772,,,16,125,1928,
814922,,,12,80,1986,14100
815094,,,12,23,1920,
279523,,,12,249,1984,
815868,CHESTNUT TOWER,,36,,2000,
815880,UNION TOWER,,18,,1998,390800
354504,DALEY CENTER,,32,,1965,
217853,,,18,,1967,
408686,IIT GUNNSAULUS HALL,,10,,1957,
837665,,,24,138,1953,
814218,KINZIE STATION TOWER,,25,,2000,
235182,COMMONWEALTH PROMENADE W,,27,,,
355911,HAROLD WASHINGTON SS CENTER,,10,,1976,
342918,SALVADOR FERRAGANNO,,10,,1961,
357849,MID CONTINENTAL PLAZA,,50,,1972,
865990,,,42,,1965,
813875,MC CLURG COURT CINEMA,LAKE SHORE ATHLETIC CLUB,53,102,1974,61900
86156,,,22,201,1966,
342804,STREETERVILLE CENTRE,,26,160,1969,76500
814916,COLUMBIA COLLEGE,,10,,1895,198900
368556,TAYLOR PLACE APARTMENTS,NORTH/SOUTH,12,,1967,
203011,THE EDDYSTONE,,23,70,1932,
815100,,,18,,1905,
140123,,,24,,1972,
40059,MALIBU CONDOMINIUMS,,39,356,1971,
813874,MC CLURG COURT CENTER,,53,102,1974,61900
452905,,,22,,1929,
358982,KENT LAW SCHOOL,,10,,1991,250800
814889,,,12,,1917,75100
59348,,,11,,1981,
851863,,,18,64,1929,
316920,ELIOT HOUSE,,28,,1962,
457797,,,14,,1926,
843458,340 on the Park,,64,,2006,
813653,FITZPATRICK HOTEL,,27,,1961,119700
327683,990 N LAKE SHORE DR.,,33,147,1974,
776442,GREAT LAKES CARBON CORP,,11,,1942,
46903,,,21,200,1964,
815820,,,44,,,
837924,,,29,,2005,
335531,LEWIS TOWERS,LOYOLA UNIV,15,,1927,
314577,1320 NORTH STATE PARKWAY,,15,42,1926,
880212,233 EAST ONTARIO,,14,,1971,
330908,253 EAST DELAWARE,,23,164,1958,
880573,,,39,462,1960,
880604,,,16,,1926,
814498,I AM TEMPLE,,15,,1916,
120006,RAVENSWOOD HOSPITAL RESIDENCE,,13,220,1973,
369367,UIC COLLEGE OF NURSING,UNIVERSITY OF ILLINOIS AT CHICAGO,12,,1968,
351724,HYATT REGENCY CHICAGO I,,33,,1974,1063800
224829,,,21,56,1958,
352508,225 WEST WACKER,,28,,1989,
154196,3900 NORTH LAKE SHORE DRIVE,,25,240,1960,
356146,INTERCOUNTY TITLE BUILDING,,14,,1906,111200
814387,ATLANTIC BANK BUILDING,,12,,1916,70400
352279,TWO ILLINOIS CENTER,,32,,1972,3750000
814224,RIVERBEND CONDOMINIUMS,,38,,2002,
815886,,,33,329,1901,
354511,BOEING WORLD HDQ.,NAVTEQ,36,,1990,
417459,LAWLESS GARDENS 1,,25,230,1969,
340007,CHICAGO PLACE,SAK'S FIFTH AVENUE,49,204,1991,376500
355594,PARKING GARAGE,,12,,1940,
888380,110 W SUPERIOR,,27,,2008,
886018,PRINTERS CORNER,,17,88,2007,
891915,EnV of Chicago,,29,250,2010,
891283,,,18,75,1930,
890986,,,15,1,2009,
891892,ROOSEVELT UNIVERSITY VERTICAL CAMPUS,,32,,2011,
891773,,,16,144,1928,
862227,,,23,80,1970,
894474,,,24,35,2015,
229048,,,19,240,1956,
222762,,,15,130,1953,
363558,AT&T BLDG,,11,,1948,
368657,,,19,,1911,
312161,,,21,,1963,
311900,ST ELIZABETH'S HOSPITAL,POOR HAND-MAIDS OF JESUS CHRIST,11,,1949,
524388,,,16,,1962,
577007,7300 SOUTH SHORE DR,,13,130,1928,
853754,,,10,36,1925,
9876,WINSTON TOWERS NO.3,,16,250,1971,
342643,PARKING GARAGE,,11,,1985,26400
357771,,,14,,1926,
50285,"HOLLYWOOD TOWERS, NORTH AND SOUTH",,30,541,1966,
362038,OLD COLONY BLDG,,17,,1894,
838096,,,11,,2005,
113670,,,26,,1971,
815146,630 NORTH STATE,,27,,2000,
814948,,,10,,1949,
313439,ASTOR HOUSE,,30,,1969,
354943,HARTMARX,101 NORTH WACKER,23,,1980,
830499,,,10,,2002,
146297,,,10,126,1951,
352492,LEO BURNETT BUILDING,,50,,1988,1272700
425645,,,15,,1961,
407042,,,11,,1979,
400425,,,21,,1968,
321436,,,10,20,1918,
419500,,,11,,1981,
363567,FEDERAL BLDG,,10,,1949,
352788,THE CONCOURSE AT 203,LOOP TRANSPORTATION CENTER,28,,1986,775800
468556,5401 SOUTH HYDE PARK BLVD,,15,78,1962,
814942,NEW FRANKIN BUILDING,,13,66,1910,17500
814154,DEARBORN PLAZA,,17,,2000,
355660,30 NORTH LASALLE,,44,,1974,
814576,,,22,,1913,82900
414057,,,12,,1949,
477663,,,10,,1949,
824884,Lurie Medical Research Building,,13,,2005,
311974,,,15,40,1929,
410677,,,22,,1955,
353290,,,16,,1922,
258603,RAILWAY EXCHANGE,CHICAGO ARCHITECTURE CENTER,16,,1904,
367899,UIC MOLECULAR BIOLOGY RESEARCH,,10,146,1951,
452078,,,12,59,1970,
353759,PARKING,,11,,1990,368900
226910,,,22,253,1961,
815101,THE CHILDRENS PLACE ON STATE ST,THE MENTOR BLDG ENTRANCE ON MONROE,17,,1906,
341769,WACKER APARTMENTS HOTEL,,13,,1926,
352799,FLORSHEIM TOWER,FOCEL,30,,1984,
815621,DELAWARE PLACE ON THE PARK,,25,,1985,
410834,,,13,,1958,
342703,1170 WEST ERIE,,16,51,1970,
480037,,,10,,1960,
346539,,,33,,1966,
357601,MARMON BUILDING,LASALLE-MONROE BUILDING,14,,1894,
825025,Two River Place,,17,,2004,
821281,,,11,,1998,
351489,MARINA CITY,,61,,,
814867,,,16,,1949,
576673,LAKE TERRECE,,13,364,1962,
848747,,,13,24,1929,
496694,U OF C - CUMMINGS LIFE SCIENCE CENTER,UNIVERSITY OF CHICAGO,11,,1949,
814741,,,10,,1989,246500
400461,PRAIRIE SHORES 3,,19,,1958,
331720,860 NORTH DEWITT,,22,156,1961,
874107,,,13,112,1930,
837268,,,16,,1926,
351001,,,11,,1967,
359457,MIDWEST TERRACE APARTMENTS,CHICAGO HOUSING AUTHORITY,14,,1964,
814750,MCCLURG BUILDING,ASHWOOD PROPERTIES,10,,1894,109000
815503,70 EAST CEDAR,,15,30,1927,
815495,20 EAST CEDAR,,19,50,1925,
814001,CONRAD CHICAGO HOTEL,THE SHOPPES AT NORTH BRIDGE,17,,1932,204800
333965,WORCESTER HOUSE,NORTHWESTERN UNIVERSITY CHICAGO CAMPUS,19,,1926,
219808,336 WEST WELLINGTON,,26,120,1966,
360584,,,12,,1918,
874100,,,15,210,1932,
814791,CNA PLAZA NORTH,,24,,1962,
297395,AMERICAN TOWERS,,32,420,1974,7900
824181,TRANSPORTATION BUILDING,,22,356,1909,70800
309668,1430 NORTH LAKE SHORE DRIVE,,23,25,1928,
351935,HYATT REGENCY CHICAGO II,,33,,1980,
342713,NORTHWESTERN UNIVERSITY PARKING,,10,,2003,
837997,PARKING FACILITY,,10,,1972,
815361,1300 NORTH LAKE SHORE DRIVE,,40,148,1965,
366904,THE TERRACES AT DEARBORN PARK,,12,,1983,
354486,123 NORTH WACKER,,30,,1986,562900
355586,CHICAGO TEMPLE,,23,,1924,
814685,200 WEST ADAMS,,30,,1985,
108639,LELAND-SHERIDAN APARTMENTS,,20,235,1967,
238451,,,12,,1924,
814183,THE STERLING,,50,,2001,
80117,SHERIDAN LAKEVIEW APARTMENTS,,12,120,1930,6000
885981,THE ELYSIAN,,60,,2008,
836576,,,62,289,2005,
892135,,,43,450,2012,
886023,SoNo WEST TOWER,,28,,,
893176,UNIVERSITY OF CHICAGO HOSPITAL,CENTER FOR CARE AND DISCOVERY,10,240,2013,
892336,,,26,,1929,
354924,CONCORD CITY CENTRE,,23,,1927,
814537,SKYBRIDGE,,39,,2003,
448568,HARPER SQUARE SOUTH,,25,,1971,
100312,,,13,198,1979,
382508,,,22,173,1966,
357894,55 W. MONROE BUILD.,XEROX CENTER,43,,1978,965500
329016,THE WESTIN HOTEL,,27,,1972,
814564,CAPPER AND CAPPER,PRUDENTIAL JEWELERS,17,,1910,
815882,ADMIRAL'S POINTE,,27,,2002,
331219,WHITEHALL HOTEL,,20,,,
837170,,,16,139,1931,
410725,,,13,,1957,
322981,1100 N LAKE SHORE DRIVE,,40,80,1979,
813514,KNICKERBOCKER HOTEL,,10,,,
734754,,,11,,1925,
360907,CNA PLAZA,,44,,1972,
532710,,,11,165,1968,
501726,INTERNATIONAL HOUSE,UNIVERSITY OF CHICAGO,12,,1931,
130130,,,10,60,1930,
346213,,,15,,1930,64600
563562,,,11,,1949,
499699,,,15,35,1971,
857185,,,14,129,1980,
354372,THE HERITAGE AT MILLENIUM PARK,,57,,2005,
308536,,,16,,1965,
59496,,,14,,1985,
448117,"THE NEWPORT, NORTH AND SOUTH TOWERS",,27,728,1962,
815890,THE FORDHAM,,52,,2002,
315956,ASTOR TOWER,,29,92,1968,
356863,ONE BANK PLAZA,,60,,1969,
868404,,,18,,1914,
468013,,,13,112,1929,
339927,ALLERTON CROWNE PLAZA,,26,,1926,255700
222536,,,15,409,1928,
351471,,,16,,1980,
814577,,,37,,1919,333300
351634,MARINA CITY,,61,,1962,
355046,GARLAND BULIDING,,21,,1915,
352827,MICHIGAN PLAZA SOUTH,,44,,1960,1923400
324936,GOLD COAST GALLERIA,,32,,1989,
355623,AT&T,,18,,1915,
345955,THE GRAND OHIO CONDOMINIUMS,,26,960,1985,61200
813515,,,21,27,1908,
838070,,,11,,2003,
368218,DEARBORN PARK HIGHRISE I,,27,,1980,
814933,DONOUGH BLDG,,10,,1893,
464007,DEL PRADO,,13,175,1917,23400
457683,SCHOLARS CORNER APARTMENTS,,13,66,1933,67600
358051,THE HARTFORD BUILDING,,20,,1962,598000
814769,CITY COLLEGES OF CHICAGO,,14,,1949,
814819,,,12,,1988,22200
453923,,,22,,1951,
313476,,,22,,1951,
851862,,,13,165,1924,
365284,RUSH PRESBYTERIAN ST LUKES MEDICAL CENTER,PROFESSIONAL OFFICE BUILDING,12,,1981,
26053,SHERIDAN POINT,,22,136,1974,
844182,MOMO,,31,,2007,
340546,RADISSON HOTEL,,40,,1973,
814823,,,19,,1910,
825001,THE PINNACLE,,48,,2004,
357247,TWO FIRST NATIONAL PLAZA,,30,,1973,267300
328962,227 EAST WALTON,,13,24,1956,
352484,MILLIERY MART BUILDING,,25,,1928,
815885,THE GRAND ON GRAND,,28,,2004,15700
814527,309 W WASHINGTON,,13,,1901,449500
392317,,,11,132,1978,
224970,,,14,150,1951,
259426,,,20,,1972,
356896,LOOP CENTER BUILDING,,22,,1927,132800
814008,THE FAIRBANKS AT CITYFRONT PLAZA,,31,,,
880576,MATHER TOWER,,41,,1928,
886001,757 ORLEANS @ CHICAGO,GAMMONLEY CONDOS,22,,2008,
886002,BURNHAM POINTE,,28,,2008,
889839,,,15,1,2008,
357404,NATIONAL LIFE BUILDING,BARRISTER HALL,12,,1902,210500
54061,,,13,480,1949,
351497,RIED MURDOCH BUILDING,FRIEDMAN PROPERTIES,11,,1954,307200
815892,ONE EAST 14TH PLACE,,17,,2000,
886020,R+D659,,17,237,,
894376,,,45,490,2015,
60964,,,11,,1971,
310719,,,22,,1927,
307263,,,16,,1965,
309276,BRYANT HOUSE,,28,,1962,
814591,PRESIDENTIAL TOWERS T1 AND T2,,49,,1985,
217923,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,BARR TOWER,20,,1974,
814561,6 N. MICHIGAN BUILDING,,19,,1899,
814497,,,13,,1927,29300
815305,,,19,30,1933,
245705,2626 NORTH LAKEVIEW,,42,492,1968,
814630,QUALITY INN,ONE MID CITY PLAZA,17,,1968,
832378,,,14,,1961,
813569,247 EAST CHESTNUT,,26,88,1965,
838356,,,10,,2004,
351612,LONDON GUARANTEE BLDG,,21,,1923,
320910,,,19,64,1974,
415711,,,12,,1957,
836039,,,12,,2005,
814363,191 NORTH WACKER,,37,,2002,
814410,MICHAEL BILANDIC BUILDING,,20,,1920,
813543,THE RAFAEL HOTEL,,18,,1936,118200
511694,INDIANA TERRACE,,12,72,1971,
837360,,,20,238,1981,
447021,LUTHER TERRACE,,22,315,1974,
331877,THE PLAZA ON DEWITT,,43,,1966,
318798,,,16,134,1965,
348534,CITYVIEW,,12,504,1989,
352778,HAROLD WASHINGTON CITY COLLEGE,,10,,1983,
453423,,,21,136,1949,
813492,WALTON COLONNADE,,43,256,1974,1400
331340,,,16,,1927,
355670,2 RIVERSIDE PLAZA,,26,,1929,
825026,University Center of Chicago,,19,,2004,
837361,,,20,300,1995,
815416,,,12,36,1917,
824850,Jefferson Place,,28,,2004,
814766,DEPAUL UNIVERSITY CTI CENTER,,11,,1916,
815200,,,19,90,1974,
500556,,,17,290,1926,
127176,,,16,91,1930,
813526,,,12,11,1926,
360441,MONADNOCK BLDG,,17,,1891,
824936,SUPERIOR WEST,,12,,2004,
813854,AOA BUILDING,,18,,1987,
874104,,,19,176,1931,
577088,7321 SOUTH SHORE DRIVE,,13,156,1928,
200222,,,15,30,1930,
47226,BEACH POINT TOWER,,19,96,1954,
881851,,,16,,1912,
353511,OUTER DRIVE EAST,,40,940,1963,
311301,1400 NORTH STATE PARKWAY,,17,96,1960,
427927,PAUL STEWART APARTMENTS 1,,20,250,1976,
398885,PRAIRE SHORES 2,,21,342,1961,
370068,1130 SOUTH MIGHIGAN,,43,656,1969,
814667,PALMER HOUSE HOTEL,,25,,1927,1395600
453755,5000 EAST END BUILDING,,28,225,1928,
315013,THE WHITNEY,,15,150,1997,
357030,181 WEST MADISON,,50,,1990,
349335,REALTOR BUILDING,,12,,1963,
814619,UNIVERSITY CLUB OF CHICAGO,,15,,1908,146100
226881,ST JOSEPH'S HOSPITAL,,13,,1962,
483500,JACKSON TOWERS,,19,225,1925,
126150,THE BOARDWALK,,27,450,1974,31600
353775,SMURFIT-STONE BUILDING,,41,,1985,830300
341177,AMERICAN FURNITURE MART,NORTHWESTERN UNIVERSITY MEDICAL OFFICES,29,,1926,
424520,VICTOR A. OLANDER HOMES- CHA,,15,135,1952,
353029,THE PARKSHORE,,56,,1991,
358064,CHASE LASALLE STREET BUILDING,,22,,1928,
880857,CITY VIEW TOWER,,13,,2003,
892194,LAKESHORE EAST,,45,499,2012,
891291,,,12,,2009,
337775,,,17,,2001,
824835,Courtyard Chicago Magnificent Mile,,23,,2004,
892934,East West University,,17,,2013,
894394,,,53,,2015,
46045,,,13,100,1953,
814594,PRESIDENTIAL TOWERS T3 AND T4,,49,,1985,
322562,NOBLE SQUARE CO-OP,,28,,1969,
352516,MICHIGAN PLAZA NORTH,,27,,1980,
219878,,,18,,1923,
813884,LENOX SUITES HOTEL AT 616,,16,330,1929,6400
32923,,,24,269,1963,
361378,,,10,,1922,28200
409340,,,13,,1964,
314611,,,23,,1966,
814425,150 NORTH WACKER DRIVE,,32,,1971,295500
438587,,,13,101,1968,
355522,33 N DEARBORN BUILDING,,25,,1966,333800
352220,OLD REPUBLIC BUILDING,,24,,1925,
837168,,,20,218,1959,
59247,,,12,,1982,
312061,,,22,,,
240926,,,14,140,1929,
815106,,,21,216,1972,
312607,,,13,,1950,
381726,LONG GROVE HOUSE,,30,,1970,
362335,,,15,,1949,
497863,,,13,,1927,
323892,THE CARLYLE,,40,,1967,
352481,HOTEL MONACO,,13,,1912,
247447,,,19,162,1988,
866484,,,26,90,1974,
354513,RIVER CENTER,,17,,1913,
33667,,,12,144,1931,
824885,ABN Amro Plaza,,29,,2003,
352495,LASALLE-WACKER BUILDING,,41,,1930,
353241,LAKE WELLS SELF PARK,,15,,1990,20300
355610,MARMON BLDG,KELLER SCH. OF MANAGEMENT,28,,1986,430000
14219,,,13,120,1930,
138743,POLO TOWER,,16,,1960,
122970,,,10,,1949,
363608,AMERITECH BLDG,,10,,1919,248100
367303,,,18,,1931,
364723,,,17,,1964,
427580,,,11,97,1984,
814712,,,21,,1958,
416751,,,12,,1957,
318620,STATE TOWER,,28,92,1981,
35959,EAST POINT,,43,160,1970,
57114,,,12,,1949,
862493,,,13,195,1931,
73095,KENMORE PLAZA,,27,280,1974,
363814,,,10,,1949,
375204,DEARBORN TOWER,,17,,2001,
117743,,,19,119,1970,
824983,THE LOFTS AT MUSEUM PARK I,,15,,2004,
836610,LAKESIDE TOWER,,19,,2005,
302557,1550 N LAKE SHORE DR,,34,,1951,
861576,,,13,48,1970,
814261,PARK MILLENNIUM,,57,,2002,
358667,HOME FEDERAL BUILDING,,15,,1962,155800
824755,111 SOUTH WACKER,,51,,2005,
837879,CITY HALL & COUNTY BUILDING,,12,,1911,
814836,CHICAGO BOARD OF TRADE,,44,,1983,
837712,,,20,240,1988,
283892,LINCOLN PARK TOWER,,30,334,1967,
454924,ALGONQUIN APARTMENTS 3,,14,70,1952,
419721,LAWLESS GARDENS 3,,24,,1968,
813923,THE FARALLON,,22,,2001,
815143,THE RESIDENCES AT GRAND PLAZA,,38,,,
60414,,,38,400,1974,
893575,,,50,409,2013,
885989,1720 SOUTH MICHIGAN AVENUE,,32,,,
889465,,,21,,2008,
892681,,,27,,2010,
888280,ALTA/CIRRUS,,37,,2009,
