building_id,building_name_1,building_name_2,stories,number_of_units,year_built,building_sq_ft
813762,CITY PLACE,OMNI HOTEL,40,,1989,494300
24225,SHERIDAN-DEVON APARTMENTS,,26,,1968,
416920,IITRI TOWER,,21,,1962,
418235,,,12,150,1970,
353629,HARBOR POINT,,54,742,1974,
146320,,,13,102,1933,
836485,,,10,,2005,
837926,,,19,,1999,
353785,BUCKINGHAM PLAZA,,44,,1979,
814026,,,22,,1986,
367038,RIVER CITY,,12,446,1986,82200
814257,CARBIDE & CARBON BUILDING,HARD ROCK HOTEL,37,,1929,
893335,,,45,500,2013,
344733,EMBASSY SUITES,,10,,1991,
261765,,,17,276,1930,
313699,,,16,,1949,
392736,MERCY HOSPITAL,,13,,1967,
10322,,,16,250,1969,
814569,MALLERS BUILDING,JEWELERS CENTER,21,,1910,
358897,SEARS TOWER,WACKER DRIVE POST OFFICE,110,,1974,
335439,MOODY BIBLE INSTITUTE,ADMINISTRATION BUILDING,12,,1937,
102035,,,13,80,1959,
367873,BURNHAM PARK PLAZA,,19,292,1915,43600
52570,,,21,161,1970,
32053,,,13,,1949,
814771,KLUCZYNSKI FEDERAL BUILDING,,45,,1975,
306295,,,24,57,1932,
814597,ROOSEVELT UNIVERSITY,,12,,1898,200000
210897,3150 NORTH SHERIDAN,,29,,1974,
469556,,,12,,1968,
357442,230 WEST MONROE,,29,,1970,707000
814454,HOTEL ALLEGRO,,18,,1926,
348898,COURTYARD MARRIOTT,,15,,1992,
324108,LASALLE COURT APARTMENTS,,17,310,1933,
356188,AVONDALE CENTER,,36,,1922,428000
387605,,,14,,1926,
258263,,,18,36,1930,
333423,100 WEST CHESTNUT,,31,280,1984,110400
362902,ONE FINANCIAL PLACE,LA SALLE CLUB HOTEL,39,,1983,
814341,,,23,,1927,
8076,,,14,218,1974,
343348,,,15,,1929,66300
846096,,,17,135,1930,
814763,FEDERAL RESERVE BANK,,15,,1922,
814761,,,20,,1913,288900
814906,TRAVEL LODGE,,12,,1930,
403361,,,24,,1966,
847107,,,20,62,1973,
420449,,,17,228,1958,
814860,,,11,,1949,
359462,BANK OF AMERICA CENTER,,20,,1924,
813575,,,24,,1952,
821493,PLATINUM TOWER,,13,72,1900,
368359,UIC SCIENCE ENGINNERING OFFICES,,13,,1964,
353264,FRANKLIN LAKE SELF PARK,,13,,1990,453100
815338,,,15,130,1974,
814582,NW MUTUAL LIFE,303 WEST MADISON,26,,1987,
418262,,,10,,1970,
322492,1133 NORTH DEARBORN,,33,264,1988,23200
112378,,,14,280,1964,
314443,,,14,,1930,
813903,,,41,,1989,
188015,525 HAWTHORNE,,30,378,1990,
244567,2700 NORTH HAMPDEN,,25,95,1971,
352271,CHICAGO MOTOR CLUB,,18,,1928,72500
814849,FINE ARTS BUILDING,,18,,1925,845200
578204,,,20,90,1967,
319348,,,17,173,1931,
49510,,,18,74,1961,
213700,,,12,47,1930,
837998,Armour Academic Center - Rush U,,10,,2005,
831891,,,20,281,1974,
350578,CITYFRONT PLACE,,39,400,1989,
814006,EMBASSY SUITES HOTEL,RIVER EAST CENTER,13,,2001,
458457,,,10,,1928,
834563,,,10,,2005,
