primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
The Phantom City,1928,60,"Drama,Mystery,Western",3.8,13
Dummy in a Circle,1993,93,"Drama,Music",6.2,15
Moving,2002,97,"Adventure,Comedy",5.2,112
Travel Breakers,2013,87,"Drama,Romance",7.9,12
"Come fu che Masuccio Salernitano, fuggendo con le brache in mano, riuscì a conservarlo sano",1972,84,Comedy,4.3,30
Shaken,2023,82,Documentary,9.0,12
Fakir Asiklarin Romani,1971,55,"Drama,Romance",4.5,37
Cold Sunday,2012,92,"Mystery,Thriller",5.1,49
"Slovenija, Avstralija in jutri ves svet",2017,116,Drama,6.8,171
Smooth as Silk,1946,64,"Crime,Drama,Film-Noir",6.2,450
Man kann ja nie wissen,1987,80,\N,6.2,18
Die goldene Gans,1953,81,"Family,Fantasy",7.6,20
Poetical Refugee,2000,126,Drama,6.9,992
Paris Belongs to Us,1961,120,"Drama,Mystery,Thriller",6.7,3000
Samurai Avenger: The Blind Wolf,2009,92,"Action,Drama,Western",4.7,704
Ex-Files,2014,108,"Comedy,Drama,Romance",5.6,369
West,2016,49,Documentary,8.9,9
O Cangaceiro Trapalhão,1983,90,"Adventure,Comedy,Family",5.9,336
Sick People,2015,98,Thriller,6.8,32
Oruvan,1999,153,"Action,Drama",5.2,11
¡Casa Bonita Mi Amor!,2024,88,Documentary,7.5,1845
Parcheta lyubov,1989,91,Drama,7.0,41
Boran,2001,99,"Crime,Drama,Thriller",7.2,42
Girls Feels: Forces of Nature,2022,91,Drama,4.8,11
Mteri chemi - dzma chemi!,2016,\N,War,8.2,24
Mi mujer está loca,1952,75,Comedy,7.8,16
Quad X: The Porn Movie Massacre,2015,89,"Action,Comedy,Horror",4.1,125
Vonís jako tenkrát,2005,86,\N,5.8,14
Fukrey 3,2023,147,"Comedy,Crime,Drama",5.5,25958
Under the Electric Sky,2014,85,"Documentary,Music",6.5,649
James the Second,2025,87,Drama,4.6,16
The Telemachy,2012,94,"Adventure,Drama",8.3,108
Parque Central,2018,84,"Comedy,Drama",5.0,8
By the People,2005,\N,Action,3.5,58
My Eyes,2024,87,"Drama,Family",4.3,683
Seven Hours of Gunfire,1965,92,"Drama,Western",4.7,84
The Lucky Ones,2003,78,"Crime,Drama,Fantasy",6.6,29
Censored Voices,2015,84,"Documentary,History",7.3,344
Marcedes,2011,68,Documentary,7.9,26
American Ultra,2015,96,"Action,Comedy",6.1,100459
Dum-Bom,1953,82,"Comedy,Family",4.7,111
Buenos Aires Nights,1935,75,"Musical,Romance",2.6,19
The Man in Search of His Murderer,1931,97,"Comedy,Drama",6.6,267
French Viplavam,2018,130,Comedy,4.6,19
The Twin,2024,103,Horror,4.9,743
Burn Off,2015,90,Drama,3.2,9
Ancient Evil Unbound,2011,89,"Horror,Mystery,Thriller",4.5,81
The Children of the Village,2014,89,Drama,8.1,8
Messiah,2018,62,"Action,Horror,Sci-Fi",5.7,19
Indecent Exposure,1983,\N,Drama,5.0,10
No Right Turn,2009,91,"Drama,Mystery,Thriller",4.0,212
Nadodi Mannan,2013,150,Drama,3.1,369
The Story of Fifteen Boys,1987,85,"Adventure,Animation,Drama",7.6,45
Valley of the Giants,1938,79,"Adventure,Drama,Western",6.2,329
L'assassino si chiama Pompeo,1962,89,Comedy,4.9,15
"Moja porodica, privatizacija i ja",2001,\N,"Comedy,Family",8.9,16
Layer Cake,2004,105,"Crime,Drama,Thriller",7.2,208257
Madama Butterfly: Handa Opera on Sydney Harbour,2014,\N,Musical,8.3,11
Cold Words,2019,93,Drama,7.9,66
The Quest: Everest,2024,97,Documentary,8.1,21
Dead Birds,2004,91,"Horror,Thriller,Western",5.6,11887
Rock Slyde,2009,89,Comedy,5.5,679
Too Tough to Kill,1935,58,"Action,Adventure,Crime",6.3,48
Adi Ask Bu Eziyetin,2010,100,Drama,6.7,75
All About the Feathers,2013,85,Comedy,6.4,140
Moon Zero Two,1969,100,"Crime,Sci-Fi,Western",4.6,2143
Gesto,2011,80,\N,6.0,138
Chopin. I Am Not Afraid of Darkness,2022,60,"Documentary,Music",7.8,13
Fanatics,2012,85,"Comedy,Romance",6.1,1280
Chanthupottu,2005,127,"Comedy,Drama,Romance",6.6,1106
Plunder,2003,55,Thriller,7.5,21
Lions Love (... and Lies),1969,112,"Comedy,Drama",5.8,1599
A Woman with a Wooden Cart,2024,\N,Mystery,3.2,16
City of Bad Men,1953,81,"Drama,Western",6.0,542
Praapthi,2024,130,Thriller,7.7,522
Thilagar,2015,117,Drama,5.8,23
Onna goroshi abura jigoku,1957,99,Drama,7.0,14
Red,2020,123,"Drama,Romance",6.1,315
Short Plays,2014,105,"Documentary,Sport",5.0,110
La malcasada,1926,81,Drama,3.6,16
The Kunlun Column,1988,\N,"Drama,History,War",5.9,10
Der Fall Brenken,1934,88,Drama,2.3,31
Colleagues,1962,96,Drama,7.3,184
Seduction,1990,75,Adult,8.6,15
Scandinavian Silence,2019,80,"Drama,Thriller",5.8,207
Life Classes,1987,117,Drama,6.8,72
Made in the USA,2001,105,"Crime,Documentary",7.4,37
Algo Fayó,2017,86,Documentary,7.6,7
The Locksmith,2023,96,"Action,Thriller",5.9,45
Naughty But Nice,1927,70,"Comedy,Romance",5.3,28
Luck and Pluck,1919,50,"Adventure,Crime,Drama",6.4,17
Once in a Lifetime,1954,\N,\N,6.2,26
Clubbed to Death (Lola),1996,90,Drama,5.5,584
Italo Disco: The Sparkling Sound of the 80s,2021,62,Documentary,6.8,129
Zis Boom Bah,1941,61,"Comedy,Music,Musical",4.9,161
National Gallery,2014,180,Documentary,7.3,1822
La banda dei supereroi,2014,110,Comedy,4.5,59
Drowning by Numbers,1988,118,"Comedy,Drama",7.1,10564
Sweating Indian Style,1994,57,Documentary,6.0,11
City Walls: My Own Private Teheran,2006,87,Documentary,7.6,14
Thatsamayam Oru Penkutty,2012,172,Drama,3.7,153
The Jewish People Live,1947,80,Documentary,5.3,11
The Investigation,2006,95,"Crime,Drama",6.6,169
The Half of It,2020,104,"Comedy,Drama",6.9,47534
Seeing Allred,2018,96,"Biography,Documentary",7.3,1537
Maternidad imposible,1955,86,Drama,6.3,8
King of the Lost World,2005,80,"Action,Adventure,Fantasy",2.5,2086
Deep Blue Dream,2013,76,Drama,5.5,155
The Midwife,2015,119,"Drama,History,Romance",6.0,1672
Afonya,1975,92,"Comedy,Drama,Romance",7.7,5684
Herzlich willkommen,1990,92,Drama,7.4,62
A Sudden Case of Christmas,2024,91,"Comedy,Family",5.1,1542
A Blood Moon Rising,2025,\N,"Drama,Horror,Thriller",4.4,18
Hello Quo,2012,152,"Documentary,Music",6.7,142
Yangin Var: Eski Istanbul Kabadayilari,1960,100,"Drama,Romance",6.9,96
A Charmed Life,1993,101,Drama,6.0,21
The Unbreakable Tatiana Suarez,2024,78,"Documentary,Sport",6.6,180
Lust Weekend,1980,59,Adult,4.9,15
The White Viking,1991,131,"Action,Adventure,Drama",6.0,492
Bojevita kraljica noci,2024,80,Documentary,8.6,13
Un tenero tramonto,1984,92,\N,5.0,12
O lyubvi v lyubuyu pogodu,2004,95,"Comedy,Drama,Romance",4.4,23
Aani Maani,2019,94,Drama,6.5,135
Free Throw,2012,76,Documentary,6.9,23
El mundo alrededor,2005,92,Comedy,4.5,35
Devil Girl,2007,83,Thriller,3.8,233
"Can't Stop, Won't Stop: A Bad Boy Story",2017,80,"Documentary,Music",5.4,928
Ennum Eppozhum,2015,147,"Comedy,Drama",5.5,884
Moon Face Shattered Hearts,2022,105,"Comedy,Drama",4.4,30
Mitt livs hotell,2022,48,Documentary,6.5,52
Entre paréntesis,1982,84,Drama,5.6,31
The Drop,2000,87,"Action,Crime",5.0,34
Brian,2026,94,Comedy,8.6,24
Pressure Point,1962,91,Drama,7.1,2387
Darar,1972,\N,Drama,7.2,6
Rangbaaz Wanted,2022,\N,Drama,7.6,7
Mee-Shee: The Water Giant,2005,95,"Adventure,Family,Fantasy",5.3,857
Happier Than Ever: A Love Letter to Los Angeles,2021,65,Music,7.3,2001
Karaikkal Ammaiyar,1973,150,\N,7.7,36
Not Forgotten,2000,121,"Drama,War",7.3,58
The Bowery,1933,92,"Comedy,Drama,Music",6.8,708
Jakarta Undercover,2006,120,Thriller,5.6,128
Celle que j'aime,2009,103,"Comedy,Drama",4.4,230
