nconst,primaryName,numFilms,totalVotes,titles
nm0077720,Michael Berryman,49,1235449,tt0073486|tt0082245|tt0101988|tt0454224|tt0092615|tt0339736|tt1728973|tt0101412|tt0089338|tt3602422|tt1577055|tt15358226|tt0096402|tt1245735|tt0106323|tt6945500|tt1131743|tt1641388|tt0932661|tt0090659|tt10746060|tt1258998|tt0103278|tt0864331|tt2570436|tt2166500|tt0098996|tt8075402|tt34876472|tt0099523|tt8395214|tt1023344|tt0405632|tt6051424|tt12246076|tt14966042|tt2217790|tt0462516|tt28772290|tt3361068|tt1327699|tt32513998|tt12813706|tt2210587|tt0310049|tt0302598|tt6745192|tt2980556|tt1500259
nm1561982,Pilou Asbæk,27,1234933,tt2872732|tt1219827|tt4530422|tt5500218|tt2638144|tt10245072|tt3140100|tt6879446|tt2216240|tt13655120|tt3830162|tt8656686|tt3542188|tt1434443|tt1065318|tt4677924|tt2191400|tt3335048|tt20519254|tt1568815|tt6353036|tt31272500|tt1221129|tt1668056|tt5104286|tt35669487|tt1143149
nm0001037,Graham Chapman,9,1234453,tt0071853|tt0079470|tt0085959|tt0066765|tt0084352|tt0086618|tt1979172|tt0066302|tt0078016
nm0000034,William Holden,67,1234147,tt0043014|tt0050212|tt0074958|tt0065214|tt0047437|tt0046359|tt0072308|tt0077394|tt0061452|tt0042276|tt0052902|tt0048491|tt0058453|tt0046874|tt0062886|tt0046806|tt0083015|tt0069822|tt0077539|tt0048316|tt0046963|tt0081747|tt0055871|tt0045737|tt0032881|tt0043090|tt0054483|tt0040720|tt0060095|tt0046094|tt0040270|tt0031377|tt0067989|tt0078801|tt0032636|tt0041625|tt0080671|tt0045267|tt0051816|tt0032221|tt0069179|tt0034269|tt0057813|tt0040104|tt0041652|tt0056447|tt0064037|tt0056186|tt0041929|tt0049640|tt0044085|tt0049870|tt0071292|tt0039307|tt0043553|tt0045782|tt0042449|tt0033741|tt0044437|tt0035052|tt0034736|tt0036553|tt0041286|tt0039196|tt0035247|tt0033155|tt0298390
nm0588777,Larry Miller,32,1234108,tt0147800|tt0373469|tt0117218|tt1912398|tt0144528|tt0429589|tt0118111|tt0161083|tt1213012|tt0109484|tt0102517|tt0119142|tt0249516|tt0103003|tt0273799|tt0108442|tt0151582|tt0109665|tt0118836|tt1049405|tt0887719|tt0099018|tt2854394|tt1074214|tt0109783|tt0415949|tt0120627|tt1971403|tt0104309|tt0199975|tt3518176|tt1334221
nm0001891,Anthony Higgins,25,1233388,tt0082971|tt0090357|tt1440732|tt0106941|tt0083851|tt0065073|tt0067924|tt0088851|tt0374853|tt0110689|tt0419641|tt0082964|tt0218141|tt0091498|tt0071507|tt0066392|tt0129774|tt0275468|tt0116631|tt0065195|tt0088102|tt0103881|tt0108264|tt0119117|tt0298135
nm0383708,Rumi Hiiragi,6,1232201,tt0245429|tt0876563|tt1798188|tt1604555|tt1566645|tt0274760
nm0101005,Tom Bower,58,1232188,tt9243946|tt0454841|tt1206543|tt1263670|tt1095217|tt0257756|tt0252501|tt2059171|tt7798604|tt0954947|tt0091860|tt0120753|tt0105217|tt6063090|tt15334032|tt2725076|tt1691920|tt0098524|tt0114928|tt0486028|tt0286493|tt0113028|tt0113158|tt3908598|tt0162662|tt0089491|tt0103036|tt0810880|tt0098660|tt0432290|tt0095036|tt19407666|tt1094296|tt0108306|tt0914845|tt2094034|tt0116772|tt0974584|tt10579768|tt0119138|tt0452701|tt0472200|tt0481517|tt1024666|tt1918924|tt9673140|tt0405042|tt8083936|tt0088404|tt0108119|tt0264425|tt3116250|tt2088907|tt0389792|tt9673224|tt0113747|tt18068772|tt0489249
nm0001242,Matt Frewer,20,1232102,tt0409459|tt1306980|tt0097523|tt1337057|tt0116839|tt3448226|tt0113936|tt1221208|tt0758798|tt0388285|tt0098369|tt0100604|tt1236471|tt0367232|tt0097332|tt0105526|tt5009286|tt1828972|tt1308182|tt0411753
nm1946193,Jamie Dornan,17,1231378,tt2322441|tt22687790|tt12789558|tt4465564|tt4532826|tt4477536|tt13603966|tt4190530|tt3922798|tt9016974|tt3797512|tt3991412|tt6842770|tt9147456|tt2272918|tt6043072|tt1065124
nm0789970,Sebastian Shaw,24,1230962,tt0086190|tt0031968|tt0055024|tt0063297|tt0095303|tt0027954|tt0040605|tt0029603|tt0041576|tt0044830|tt0026035|tt0032482|tt0033161|tt0026269|tt0033108|tt0027101|tt0026591|tt0020746|tt0028854|tt0165535|tt0031030|tt0159038|tt0027831|tt0165074
nm0289038,James Fox,48,1230252,tt0367594|tt0105112|tt0107943|tt0203119|tt1825157|tt0337697|tt0130121|tt0087892|tt1598873|tt0087365|tt0100530|tt0057490|tt1536048|tt0066214|tt0059797|tt0475984|tt0097880|tt0062362|tt0118623|tt0059358|tt1251725|tt0200669|tt0090585|tt0153464|tt0092206|tt0063141|tt0379790|tt1371160|tt0101276|tt8255490|tt0042735|tt0092772|tt0200422|tt0043772|tt0062917|tt0133197|tt0095303|tt0858500|tt0282771|tt2230956|tt0104443|tt0086219|tt0098307|tt0061365|tt0117165|tt0103723|tt0077996|tt0167803
nm0734558,Karel Roden,70,1230238,tt0167190|tt1148204|tt1032755|tt0404390|tt0179626|tt0245803|tt0808339|tt8883486|tt0475937|tt1925435|tt1446147|tt0469640|tt3622332|tt1374985|tt1754123|tt0239102|tt1380799|tt5050904|tt0486020|tt0087495|tt0145334|tt0977666|tt0406219|tt3662686|tt0093291|tt3828058|tt0092784|tt2106292|tt0119317|tt2785464|tt13479414|tt1166102|tt10481760|tt0845965|tt0097020|tt21287876|tt0167245|tt0119962|tt0403650|tt0241802|tt13974122|tt0116798|tt2950214|tt2209754|tt0257979|tt4288518|tt3474438|tt0976040|tt1434429|tt0193124|tt31548492|tt12677778|tt12883212|tt5135810|tt0228119|tt0107304|tt0101618|tt0099876|tt0247584|tt0097846|tt0198933|tt0405276|tt1401594|tt0969313|tt0304710|tt0110069|tt0093153|tt15211302|tt0104120|tt6474440
nm4525883,Jang Hye-jin,17,1229300,tt6751668|tt1287878|tt0817225|tt13086130|tt33022813|tt5502816|tt14739128|tt37661885|tt1380152|tt13574232|tt39380534|tt6985476|tt7399726|tt7391442|tt11428084|tt0381268|tt38447064
nm0166470,Carol Cleveland,14,1229005,tt0071853|tt0079470|tt0085959|tt0066765|tt0084352|tt3872778|tt1979172|tt1616543|tt4521338|tt0329247|tt2340076|tt0284522|tt0425546|tt0290130
nm0001085,Kieran Culkin,19,1228959,tt0446029|tt21823606|tt0160862|tt0124315|tt0101862|tt11525644|tt0113041|tt0280760|tt0107711|tt0437405|tt0119670|tt0363780|tt0238924|tt4144190|tt2467700|tt0110168|tt5665256|tt3018528|tt0115526
nm1483369,Chris O'Dowd,27,1228880,tt1935859|tt4209788|tt2548396|tt2170593|tt32565993|tt1320261|tt3262342|tt2234003|tt1720616|tt0910554|tt13320662|tt5607096|tt3083008|tt2390237|tt5164438|tt1673697|tt5990342|tt4936176|tt1772271|tt9288748|tt5457078|tt0468736|tt0949423|tt26700853|tt5866708|tt4483566|tt42007285
nm0112207,Randy Brooks,10,1228590,tt0105236|tt0094894|tt0090568|tt0092585|tt0099397|tt0076404|tt0081681|tt0846092|tt0462308|tt0096934
nm0000416,Terry Gilliam,9,1228346,tt0071853|tt0079470|tt0085959|tt0066765|tt0084352|tt3872778|tt1979172|tt1616543|tt2773034
nm0000387,Robert Englund,59,1228197,tt0087800|tt0329101|tt0093629|tt0089686|tt0146336|tt0111686|tt0095742|tt0097981|tt0101917|tt11514780|tt0120524|tt0437857|tt0098987|tt0960890|tt0082242|tt0264323|tt0972883|tt0113762|tt0082431|tt0074455|tt0124102|tt0816539|tt0075268|tt5629964|tt4483220|tt0098090|tt2165765|tt0120645|tt30887701|tt5157052|tt0091621|tt2449810|tt2179239|tt0108350|tt0116770|tt21913634|tt0485774|tt1650537|tt0071258|tt3963226|tt1565063|tt0080732|tt0142634|tt0074589|tt0332569|tt0101652|tt0209486|tt2525156|tt0072179|tt14579904|tt0358676|tt1472192|tt0173052|tt0083843|tt1423967|tt0376583|tt1781944|tt2388823|tt20936790
nm0569336,Sean McGinley,19,1227425,tt0112573|tt0492486|tt0118804|tt0120706|tt0410400|tt0363095|tt7157146|tt0218112|tt0490499|tt0374018|tt0410320|tt28143091|tt0119368|tt0161977|tt0116379|tt0774030|tt0117969|tt12047620|tt42007285
nm0080049,Yasiin Bey,17,1227263,tt0317740|tt0371724|tt1980929|tt0450232|tt0285742|tt0799934|tt0361127|tt1663207|tt1097013|tt0297037|tt0454879|tt0157836|tt0326806|tt0118150|tt2099700|tt0852992|tt0412886
nm0555500,Elizabeth Marvel,21,1226962,tt0887883|tt1403865|tt4481414|tt15047880|tt5536736|tt8372298|tt23476986|tt1477855|tt6485928|tt1143896|tt0808232|tt6566768|tt0384929|tt1058743|tt3485800|tt5067958|tt1034293|tt2193173|tt9416282|tt7383144|tt28144668
nm2915105,Billy Magnussen,23,1225578,tt6139732|tt2704998|tt3359350|tt11655566|tt8110232|tt7043012|tt14371878|tt5962210|tt1935902|tt1407084|tt2720826|tt15338966|tt9242528|tt1226766|tt7461200|tt1325723|tt13978520|tt1991191|tt23793170|tt1161404|tt6902560|tt13149036|tt1877894
nm0005278,Jerry O'Connell,30,1225253,tt0092005|tt0116695|tt0464154|tt0183523|tt1198138|tt0257568|tt0443295|tt0246989|tt4411584|tt0116707|tt2369317|tt8145202|tt0218864|tt8510350|tt0409681|tt20198774|tt0382028|tt1186788|tt38128726|tt13863334|tt2497980|tt0106505|tt6344584|tt20413650|tt4286432|tt6975598|tt8334452|tt5613786|tt6196406|tt0244465
nm1411125,Selena Gomez,15,1224713,tt0837562|tt2510894|tt2101441|tt20221436|tt5220122|tt2452386|tt7139936|tt1067774|tt9848626|tt2167202|tt0493949|tt1798243|tt2314824|tt0940657|tt4411618
nm0919616,Michael Welch,28,1224104,tt1099212|tt1259571|tt1325004|tt0490076|tt9109306|tt3007302|tt15690300|tt2558318|tt2081194|tt2349460|tt0492896|tt2113792|tt1965162|tt1153543|tt3444206|tt3268790|tt6923386|tt1450140|tt1209331|tt10399114|tt7737656|tt0240340|tt5449390|tt1029139|tt3110892|tt1891766|tt14578416|tt1319734
nm0001673,Jason Robards,56,1223246,tt0064116|tt0175880|tt0074119|tt0098067|tt0066473|tt0070518|tt0072730|tt0067277|tt0110771|tt0086336|tt0110363|tt0076245|tt0065446|tt0106223|tt0083702|tt0097236|tt0056196|tt0081400|tt0120323|tt0081150|tt0061787|tt0060165|tt0062301|tt0085919|tt0077360|tt0059798|tt0063141|tt0082648|tt0065922|tt0099143|tt0061581|tt0063348|tt0052950|tt0095238|tt0067457|tt0080485|tt0105480|tt0060112|tt0094020|tt0056566|tt0069483|tt0079319|tt0054710|tt0238199|tt0098197|tt0166321|tt0056810|tt0119269|tt0071867|tt0065731|tt0066312|tt0070812|tt0193082|tt0128927|tt5665902|tt2215631
nm0324231,Alexander Godunov,6,1223110,tt0095016|tt0090329|tt0091541|tt0100528|tt0115062|tt0166082
nm1367681,Oh Dal-su,59,1222405,tt0364569|tt0468492|tt0451094|tt0456912|tt0901487|tt0497137|tt2659414|tt5729348|tt2330866|tt5910280|tt4768764|tt3501416|tt3404140|tt3812366|tt0457007|tt5735464|tt30287778|tt0403692|tt2253742|tt1038110|tt2015315|tt1905059|tt0923703|tt1832381|tt1433775|tt0406853|tt1483004|tt0821462|tt2308860|tt3305060|tt4505170|tt0391539|tt7108976|tt2958712|tt1862020|tt5214690|tt2652756|tt7034992|tt1846803|tt0757194|tt6985320|tt0420646|tt14916052|tt0943958|tt0902964|tt25383302|tt5876604|tt26599543|tt0969257|tt0479709|tt2091311|tt0870969|tt1897962|tt0317614|tt0400621|tt6449626|tt6448112|tt3341438|tt23735500
nm0751638,James Russo,107,1219888,tt0119008|tt0086960|tt0142688|tt0316356|tt0119925|tt0102494|tt0098625|tt13586204|tt0109198|tt1456060|tt1911600|tt0104053|tt2027231|tt8241876|tt0091024|tt0106660|tt4269310|tt4060866|tt3334418|tt0092751|tt1027747|tt0117194|tt1307989|tt0493439|tt9347750|tt0475217|tt0202314|tt0103982|tt1477185|tt0084735|tt0085513|tt0478135|tt9579106|tt11799110|tt0311863|tt0286702|tt7066546|tt0115531|tt1536051|tt0203536|tt9527682|tt1197613|tt2940482|tt0095177|tt0367122|tt0094768|tt1714176|tt0188205|tt0345601|tt1623772|tt5770836|tt18548186|tt0359024|tt0129922|tt0313459|tt0104485|tt1308754|tt1157601|tt0818226|tt0112712|tt0259497|tt6686006|tt1480670|tt0158609|tt1965118|tt2603600|tt1006904|tt32046683|tt0463947|tt0841033|tt0126928|tt0139733|tt5122626|tt1217059|tt0160256|tt7933232|tt0113675|tt10269684|tt2056757|tt0184804|tt0187236|tt1132438|tt0419168|tt0489017|tt0249511|tt6643984|tt3783510|tt0106644|tt0086560|tt0120424|tt1737110|tt4859240|tt0969292|tt0148268|tt0282481|tt5632318|tt1258935|tt0476961|tt15313118|tt0447336|tt4060498|tt0097063|tt3528764|tt1010270|tt3149890|tt5219052|tt1560977
nm0440913,Mathieu Kassovitz,29,1219569,tt0211915|tt0408306|tt0188453|tt7458762|tt5304464|tt0280653|tt0118020|tt1242521|tt1946298|tt1132594|tt1817191|tt13285394|tt0118644|tt3161960|tt21950462|tt0110958|tt0107642|tt7222552|tt14313434|tt28100729|tt3480164|tt5986246|tt12594018|tt0116081|tt13002242|tt0166308|tt23629884|tt0082036|tt0105684
nm0120483,Edward Bunker,7,1219285,tt0105236|tt0089941|tt0468520|tt0106732|tt0095143|tt0115808|tt0338988
nm0005454,Scott Speedman,24,1219021,tt0320691|tt0401855|tt1606389|tt0482606|tt0329774|tt14549466|tt2326612|tt2355495|tt0314412|tt0279331|tt3976144|tt0497323|tt11950888|tt10339052|tt2872724|tt1709654|tt0758798|tt0246404|tt1074929|tt14158346|tt2691734|tt7596680|tt1268970|tt0125319
nm0827565,Mindy Sterling,32,1218971,tt0170016|tt0118655|tt0145660|tt0295178|tt0157503|tt1305591|tt2262315|tt0800268|tt1884369|tt10846008|tt4270452|tt0200954|tt5117326|tt4105700|tt1695409|tt13141496|tt1468727|tt6062606|tt3307800|tt4469200|tt5028598|tt4777004|tt5607810|tt13361756|tt5564792|tt1314653|tt0762091|tt27991693|tt32798968|tt14630308|tt0267297|tt7584262
nm0000955,Ward Bond,126,1218194,tt0038650|tt0033870|tt0049730|tt0053221|tt0045061|tt0038762|tt0047136|tt0040369|tt0034167|tt0048380|tt0045883|tt0040064|tt0038160|tt0043879|tt0043117|tt0032728|tt0051198|tt0034778|tt0043887|tt0037343|tt0048312|tt0039931|tt0035959|tt0023731|tt0038395|tt0039402|tt0034182|tt0042648|tt0031747|tt0034297|tt0034251|tt0043885|tt0035034|tt0037627|tt0021508|tt0048336|tt0040884|tt0045563|tt0034716|tt0029309|tt0024963|tt0031346|tt0023659|tt0036365|tt0049619|tt0046095|tt0049118|tt0032670|tt0033871|tt0051476|tt0044698|tt0035982|tt0042893|tt0022961|tt0036926|tt0050481|tt0042970|tt0025983|tt0040861|tt0031409|tt0026275|tt0031370|tt0024809|tt0034857|tt0035421|tt0030625|tt0047059|tt0043600|tt0020359|tt0032719|tt0036426|tt0028836|tt0034392|tt0044122|tt0027939|tt0028783|tt0032341|tt0027462|tt0027184|tt0046795|tt0030207|tt0032060|tt0032113|tt0025516|tt0030543|tt0028357|tt0022479|tt0033539|tt0045237|tt0029939|tt0029376|tt0025010|tt0027879|tt0028512|tt0027433|tt0035337|tt0027877|tt0027322|tt0024722|tt0025174|tt0026247|tt0023693|tt0027475|tt0024629|tt0030140|tt0030664|tt0026555|tt0027122|tt0024456|tt0025111|tt0025237|tt0030513|tt0026355|tt0023008|tt0025950|tt0026443|tt0025144|tt0023367|tt0025110|tt0026477|tt0028137|tt0025460|tt0026985|tt0031785|tt0027197|tt0027621
nm0000607,Paul Reubens,15,1217981,tt0107688|tt0221027|tt0117008|tt0132347|tt0089791|tt0091059|tt0103893|tt13405810|tt0116151|tt0094744|tt0837156|tt0087700|tt0350194|tt0179473|tt0082291
nm0001423,Richard Kiel,20,1217908,tt0398286|tt0116483|tt0076752|tt0079574|tt0089767|tt0077572|tt0055946|tt0083099|tt0080058|tt0059290|tt0085704|tt0100772|tt0057160|tt0101951|tt0126993|tt0061946|tt1234926|tt0072995|tt0079715|tt0363910
nm0843059,Eric Sykes,18,1217757,tt0330373|tt0230600|tt0059797|tt0063592|tt0057134|tt0062133|tt0059390|tt0055593|tt0057872|tt0186896|tt0056139|tt0054463|tt0059542|tt0059660|tt0061022|tt0056659|tt0082546|tt0311175
nm0937781,Hillary Wolf,3,1215955,tt0099785|tt0104431|tt0100899
nm1055302,Rhys Darby,15,1214732,tt2283362|tt1068680|tt4698684|tt32565993|tt30788842|tt2967226|tt1636539|tt20255028|tt13786042|tt5815016|tt1441259|tt1946177|tt30420705|tt33991976|tt1975934
nm5637553,Laura Harrier,7,1214397,tt2250912|tt7349662|tt10687116|tt5164438|tt6436620|tt3978720|tt9082152
nm0204706,Hope Davis,30,1214193,tt0433035|tt0257360|tt0137363|tt0384680|tt1433811|tt0423977|tt2231253|tt0365485|tt0377107|tt0252501|tt0810988|tt0462338|tt33455099|tt4986134|tt0140397|tt0361715|tt0116041|tt14647404|tt0791303|tt0851530|tt0117102|tt0119778|tt0314630|tt1175713|tt0172632|tt0277705|tt33070884|tt1641401|tt0116465|tt34378128
nm0110480,Peter Brocco,36,1214118,tt0073486|tt0067277|tt0042579|tt0045053|tt0043973|tt0084171|tt0070270|tt0045064|tt0047424|tt0047590|tt0041181|tt0071617|tt0045091|tt0058660|tt0044209|tt0056847|tt0046020|tt0040112|tt0044936|tt0059083|tt0150524|tt0050196|tt0049806|tt0044327|tt0040106|tt0038295|tt0039580|tt0128243|tt0041854|tt0044689|tt0043543|tt0045725|tt0040382|tt0045336|tt0056383|tt0041372
nm1596350,Nawazuddin Siddiqui,62,1214022,tt3741834|tt1954470|tt3863552|tt2372222|tt1821480|tt2350496|tt3405236|tt28102562|tt1787988|tt3678782|tt11873440|tt12567088|tt3449292|tt1629715|tt5662932|tt11651796|tt8959820|tt4814290|tt4129428|tt5690142|tt1447508|tt1328634|tt10230414|tt7778680|tt6117702|tt2797242|tt0995718|tt22188452|tt37443891|tt6923462|tt3734580|tt2361746|tt15832148|tt7777196|tt7722258|tt15891396|tt9172840|tt12862042|tt5943306|tt6711660|tt1263679|tt32607174|tt1785333|tt27118258|tt2198235|tt2343621|tt13261550|tt3164774|tt2389974|tt3257168|tt1153700|tt1260689|tt9795686|tt2777548|tt3996192|tt3353822|tt9399168|tt35517755|tt2086826|tt2435680|tt2422160|tt13346914
nm0288976,Emilia Fox,21,1213813,tt0253474|tt0460740|tt0444653|tt0419198|tt1037218|tt10334148|tt0298337|tt0349995|tt1766175|tt3913244|tt0324952|tt1446208|tt0382382|tt5129674|tt2265565|tt1565069|tt0345855|tt30106337|tt28710613|tt12146104|tt5675030
nm0051257,Kirk Baltz,16,1213030,tt0105236|tt0118798|tt0118870|tt1531930|tt0118150|tt0102616|tt0472096|tt5789310|tt0095310|tt1403236|tt0251364|tt0108155|tt4712840|tt1252585|tt0359608|tt0098024
nm0173125,Miriam Colon,19,1212890,tt0086250|tt0380389|tt0114319|tt0473360|tt0055257|tt0060120|tt1390398|tt0067601|tt1525838|tt0082042|tt1706625|tt0054671|tt0116170|tt0057582|tt0241254|tt0100026|tt0305956|tt1894622|tt0057125
nm0240239,William Duell,10,1212365,tt0073486|tt0095188|tt0129280|tt0091920|tt0087354|tt0114241|tt0088787|tt0161219|tt0102616|tt0068452
nm0003923,Rodger Boyce,3,1211959,tt0477348|tt0117177|tt2173222
nm0226820,Stephen Dillane,33,1210878,tt4555426|tt0349683|tt0266987|tt0274558|tt6679794|tt1439572|tt5932728|tt0388980|tt0473360|tt0099726|tt11687002|tt3906082|tt0160611|tt0379976|tt0270707|tt0294594|tt0120490|tt0914837|tt0386504|tt0118002|tt0119125|tt2006810|tt0417871|tt1185264|tt0765451|tt13659918|tt0768239|tt0119033|tt0185442|tt0166160|tt0139105|tt39385609|tt31971562
nm0001542,Jay Mohr,33,1210217,tt0116695|tt0421073|tt0223897|tt0122718|tt1212419|tt0139239|tt0790628|tt0258153|tt0368578|tt0120241|tt0180052|tt0119896|tt0125454|tt0120741|tt0175526|tt0455958|tt0404163|tt0388183|tt7542576|tt0243575|tt0362129|tt22399738|tt3110770|tt5761986|tt7039000|tt8648640|tt0464096|tt0116332|tt18950566|tt9506000|tt7188014|tt19114434|tt17490760
nm3513533,Stephanie Hsu,6,1210100,tt6710474|tt1684562|tt29623480|tt15268244|tt8637498|tt9562296
nm1412974,Glen Powell,18,1209391,tt4846340|tt12584954|tt26047818|tt20215968|tt14107334|tt5304992|tt2937696|tt4357198|tt7693316|tt2582576|tt3658772|tt2751310|tt0496319|tt2690634|tt2265080|tt1236254|tt2224073|tt0465509
nm5744538,Lee Jeong-eun,13,1208843,tt6751668|tt5969696|tt36553678|tt6731636|tt29005755|tt14371900|tt13423318|tt21983828|tt8226904|tt14839424|tt15620810|tt2969484|tt38814489
nm1856097,Cho Yeo-jeong,11,1208460,tt6751668|tt3303730|tt2544120|tt3634940|tt37718411|tt36553678|tt1905059|tt34490115|tt4455690|tt0757215|tt0326992
nm0001484,Jon Lovitz,44,1206092,tt0837562|tt0094737|tt0147612|tt0327162|tt0437863|tt0107659|tt0233142|tt0196216|tt0101329|tt0092695|tt0095687|tt0271263|tt0109439|tt0466839|tt1194417|tt0111477|tt0116531|tt0100201|tt0116448|tt0243931|tt0104905|tt3530146|tt6833470|tt6159520|tt8750122|tt0091387|tt0379708|tt8064262|tt4668834|tt2363115|tt13515076|tt11014432|tt2871776|tt4448290|tt4601732|tt36120770|tt11927670|tt6121592|tt15771862|tt2288017|tt6448084|tt15303510|tt19394336|tt0195575
nm0593961,Rhona Mitra,20,1204195,tt0822854|tt0481369|tt0834001|tt0164052|tt0483607|tt1850397|tt0208988|tt6882604|tt0461703|tt0120604|tt9387250|tt0339147|tt1139282|tt12972134|tt1324058|tt10356564|tt31956123|tt1344337|tt7511368|tt12759038
nm0004886,Bill Duke,24,1203953,tt0093773|tt0088944|tt0120784|tt6998518|tt0271668|tt0099141|tt0242445|tt0080365|tt1220888|tt0094612|tt8128188|tt0074281|tt1307873|tt0093638|tt0145505|tt0488349|tt8648640|tt0244094|tt0177769|tt0098396|tt3477172|tt15727724|tt3254614|tt5863968
nm0000078,John Wayne,144,1203750,tt0049730|tt0056217|tt0053221|tt0056197|tt0031971|tt0065126|tt0045061|tt0040724|tt0061619|tt0075213|tt0056085|tt0040369|tt0041866|tt0059740|tt0053580|tt0042895|tt0057298|tt0068421|tt0066831|tt0056059|tt0066301|tt0063035|tt0073636|tt0045883|tt0052902|tt0041841|tt0062472|tt0065547|tt0040064|tt0059309|tt0054757|tt0057007|tt0038160|tt0023775|tt0054127|tt0065150|tt0069834|tt0070825|tt0039152|tt0072732|tt0063060|tt0047086|tt0071824|tt0043547|tt0032728|tt0020691|tt0051198|tt0037522|tt0050629|tt0034742|tt0060218|tt0049092|tt0036824|tt0043887|tt0045919|tt0037343|tt0041361|tt0047889|tt0035244|tt0048593|tt0035369|tt0057952|tt0032383|tt0040946|tt0050562|tt0034182|tt0046463|tt0044418|tt0051398|tt0035250|tt0039110|tt0033038|tt0031033|tt0024902|tt0037627|tt0039927|tt0037702|tt0035195|tt0036038|tt0034889|tt0036092|tt0025440|tt0024516|tt0026267|tt0025830|tt0025455|tt0024500|tt0025699|tt0028510|tt0024805|tt0025373|tt0025969|tt0027087|tt0028653|tt0026273|tt0026846|tt0025903|tt0033159|tt0022981|tt0024124|tt0023396|tt0026908|tt0024257|tt0031718|tt0023038|tt0024647|tt0027200|tt0033871|tt0022681|tt0033806|tt0024293|tt0027849|tt0033808|tt0026614|tt0030545|tt0024663|tt0022293|tt0030714|tt0023631|tt0030663|tt0024592|tt0023456|tt0031722|tt0032146|tt0027905|tt0023567|tt0032032|tt0030550|tt0027876|tt0026774|tt0022134|tt0023109|tt0029044|tt0029034|tt0028227|tt0028677|tt0065541|tt0027462|tt0022109|tt0022479|tt0021319|tt0028554|tt0021911|tt0020604
nm7616095,Jung Ji-so,7,1203383,tt6751668|tt5066556|tt15766876|tt17640714|tt26736926|tt39239178|tt13249848
nm3570321,Ray Fisher,5,1201766,tt0974015|tt12361974|tt14998742|tt23137904|tt15507512
nm0669629,Bob Peck,6,1200999,tt0107290|tt0098350|tt0093354|tt0093674|tt0117026|tt0095480
nm0905691,Yorick van Wageningen,18,1200883,tt1568346|tt0296572|tt5886046|tt0402399|tt2717822|tt1441912|tt0294357|tt0795441|tt6851410|tt0294725|tt0313608|tt0271200|tt2317102|tt3568804|tt3273932|tt0195352|tt0098654|tt32056738
nm0602836,Dylan Moran,9,1200063,tt0365748|tt0125439|tt0425413|tt2234003|tt1657299|tt1920945|tt1139319|tt0307919|tt7359786
nm3745391,Park Myeong-hoon,7,1199559,tt6751668|tt1153040|tt15426974|tt3797214|tt6315838|tt31179204|tt7035152
nm6476224,Park So-dam,13,1199524,tt6751668|tt16529222|tt25503544|tt3180652|tt1467299|tt9619016|tt7852002|tt6931170|tt4532428|tt3424668|tt10404346|tt38814489|tt7612454
nm0752751,Mitchell Ryan,22,1199305,tt0119528|tt0093409|tt0119229|tt0107144|tt0118972|tt0068699|tt0070355|tt0113253|tt0070077|tt0109306|tt0070022|tt0111256|tt0067224|tt0066093|tt0103617|tt0098659|tt0070599|tt0105063|tt0068356|tt0068711|tt0068984|tt0256170
nm0509263,Nikolaj Lie Kaas,44,1199267,tt1312221|tt0808151|tt11655202|tt0418455|tt0896872|tt2438644|tt0154421|tt3140100|tt0342492|tt0236027|tt4088268|tt0180748|tt6916362|tt27817389|tt3877674|tt0386342|tt0315543|tt0246692|tt4738360|tt0366943|tt3305316|tt1024942|tt0432972|tt1706596|tt1054113|tt0484368|tt0403522|tt0101772|tt30886032|tt1242527|tt2381989|tt2078733|tt15964414|tt5194504|tt1425624|tt6521194|tt0273326|tt1545319|tt1572501|tt0235497|tt2094883|tt0110520|tt0161539|tt0116038
nm1293644,Ivan Massagué,21,1199199,tt0457430|tt8228288|tt27729779|tt21909764|tt1935914|tt18315204|tt0314693|tt1928200|tt7710588|tt0439860|tt15484476|tt3132094|tt9336032|tt4378066|tt0420328|tt0406740|tt5497852|tt31123059|tt21225714|tt2616860|tt0336846
nm0760151,Angus Sampson,20,1198999,tt1591095|tt12037194|tt2226417|tt3195644|tt5726086|tt1072748|tt29516222|tt2130270|tt1799516|tt2290065|tt0340110|tt0481390|tt2577854|tt0375222|tt0477647|tt1486196|tt1874434|tt1194437|tt35819564|tt0169730
nm0274913,Pam Ferris,13,1197241,tt0304141|tt0117008|tt1486192|tt0266452|tt1255919|tt1242447|tt0974613|tt2089750|tt1725969|tt1068669|tt0339072|tt1142804|tt4795152
nm0001584,Miranda Otto,39,1197102,tt0407304|tt5140878|tt0161081|tt1418377|tt0377062|tt7315484|tt14824600|tt2398231|tt4558376|tt11820950|tt6010628|tt0385017|tt0995851|tt0337960|tt2217458|tt0286594|tt2690226|tt5834660|tt0116930|tt0246719|tt0104685|tt0094591|tt1282024|tt1587278|tt28485522|tt0118939|tt0120493|tt0119002|tt0123114|tt0117975|tt0107702|tt0094385|tt0195857|tt0091008|tt0101953|tt12525406|tt17372926|tt0123260|tt0259729
nm0684187,Joe Pingue,14,1196852,tt3170832|tt1037705|tt1921064|tt1053424|tt8368368|tt9603060|tt11209212|tt2073086|tt0243462|tt30223155|tt0474865|tt18377910|tt6105456|tt2173256
nm10700274,Jung Hyun-jun,2,1196292,tt6751668|tt16529222
