nconst,primaryName,numFilms,totalVotes,titles
nm0000246,Bruce Willis,102,15370436,tt0110912|tt0167404|tt0095016|tt0401792|tt0114746|tt1276104|tt0119116|tt0120591|tt0217869|tt0337978|tt0112864|tt0099423|tt1748122|tt0425210|tt1245526|tt1764651|tt6823368|tt1077258|tt1606378|tt0327084|tt1821694|tt0986263|tt0458481|tt0104070|tt0450232|tt0314353|tt0190138|tt0119395|tt0102266|tt0340163|tt0426883|tt1385867|tt0097778|tt1137450|tt0133952|tt0120749|tt0219965|tt0385887|tt0102070|tt0115641|tt0116830|tt0327247|tt0251114|tt0457433|tt0108238|tt0100050|tt0219854|tt1366365|tt0486674|tt1925431|tt0109456|tt0099165|tt0460792|tt0092666|tt0160916|tt3963816|tt0110684|tt1748197|tt4694544|tt9820556|tt11656172|tt1085492|tt1886493|tt3480796|tt1018818|tt11762434|tt0110687|tt6684714|tt0101453|tt3164256|tt5884234|tt11656220|tt1132449|tt4382872|tt10303324|tt9625664|tt0102469|tt4651410|tt0120618|tt6547170|tt13265876|tt12528166|tt14577300|tt12861508|tt15837458|tt14412366|tt14686544|tt0096193|tt4743226|tt8809652|tt14174168|tt14849038|tt0097570|tt13496236|tt21435436|tt10957044|tt22394694|tt16527290|tt22394702|tt14555174|tt14577304|tt25306508
nm0749263,Mark Ruffalo,51,14769281,tt1130884|tt0848228|tt4154796|tt4154756|tt0338013|tt2395427|tt3501632|tt1670345|tt0443706|tt1895587|tt0369339|tt14230458|tt3110958|tt22084616|tt2463208|tt0337563|tt1980929|tt1100089|tt0842926|tt0425123|tt9071322|tt32430579|tt0272020|tt0245562|tt0861689|tt0398375|tt0844286|tt1932718|tt0264150|tt0199626|tt0405676|tt0314412|tt0831884|tt0466893|tt1969062|tt1133991|tt0361309|tt0144142|tt0120813|tt0245573|tt1270277|tt0905979|tt0126908|tt0156741|tt0161743|tt0115709|tt4527254|tt0109897|tt27607454|tt13028408|tt2926554
nm0000353,Willem Dafoe,116,14632432,tt0266543|tt10872600|tt0145487|tt2278388|tt0144084|tt2911666|tt1477834|tt12361974|tt0091763|tt0454848|tt2582846|tt14230458|tt3402236|tt0432283|tt7984734|tt11138512|tt0401729|tt5040012|tt0144117|tt0362270|tt0116209|tt7740496|tt2049403|tt0285823|tt2034800|tt5649144|tt1536537|tt0870984|tt0453451|tt0433362|tt0095647|tt0109444|tt0120907|tt0100935|tt2382009|tt1241317|tt0120179|tt0329774|tt22408160|tt30840798|tt0095497|tt0385887|tt5116302|tt1767354|tt0090180|tt0189998|tt11196036|tt6938828|tt1703148|tt0088194|tt0342735|tt0465142|tt14781036|tt0115632|tt0106453|tt7456312|tt0204137|tt0298744|tt0331952|tt1718924|tt0961108|tt1233219|tt0102307|tt4054654|tt2350892|tt8866456|tt0497323|tt0105813|tt0099587|tt0374584|tt14895206|tt0133122|tt0258816|tt0783608|tt1707391|tt3125652|tt0479341|tt6203570|tt12619462|tt0085872|tt0245090|tt0095774|tt1366409|tt0098513|tt0219171|tt4687856|tt0765442|tt9482230|tt0111454|tt1838475|tt0393329|tt0088008|tt4153828|tt0244709|tt21824548|tt0439878|tt14222534|tt4400360|tt33269988|tt0176579|tt0114846|tt32298494|tt4078744|tt33305621|tt0110665|tt13598080|tt1484918|tt6638586|tt6195904|tt6628922|tt6095056|tt7934860|tt5705972|tt7196230|tt9904670|tt4852272
nm0000148,Harrison Ford,57,14626208,tt0076759|tt0080684|tt0086190|tt0082971|tt2488496|tt0083658|tt0097576|tt0078788|tt1856101|tt0087469|tt0367882|tt0106977|tt1731141|tt0409847|tt1462764|tt1655441|tt0118571|tt2333784|tt14513804|tt0161081|tt0071360|tt0105112|tt0109444|tt0090329|tt0453562|tt0120828|tt1126618|tt5113040|tt0118972|tt0267626|tt0096463|tt7504726|tt0095174|tt0408345|tt0100404|tt0114319|tt0329717|tt1413495|tt0102768|tt0091557|tt0924129|tt0156934|tt0077572|tt1244659|tt0079180|tt0079268|tt0076138|tt0062373|tt0063161|tt9395794|tt3915966|tt26447600|tt0953363|tt5839328|tt39466735|tt3325392|tt0188050
nm0000323,Michael Caine,110,14293499,tt0468569|tt1345836|tt0372784|tt0482571|tt2802144|tt1670345|tt0206634|tt3110958|tt1216475|tt0212346|tt0295178|tt1397514|tt1618442|tt0124315|tt2568862|tt1289406|tt3312830|tt0095031|tt0384680|tt0104940|tt0091167|tt0374536|tt0075784|tt0327137|tt1772264|tt0377981|tt0180073|tt0080661|tt0073341|tt0064505|tt0069281|tt0093300|tt0058777|tt0208988|tt0067128|tt0083284|tt0857265|tt0258068|tt0780516|tt0074452|tt0110725|tt0064072|tt0059319|tt0091538|tt0083806|tt5789976|tt0147004|tt0060086|tt0085478|tt2296777|tt8883486|tt0100201|tt1838603|tt0105017|tt0086973|tt0093044|tt0096454|tt0115710|tt14124080|tt0078350|tt0077289|tt0060437|tt10339052|tt0082497|tt0060445|tt0253200|tt0061405|tt0078856|tt0100602|tt0340376|tt5779540|tt0080934|tt1130088|tt0384810|tt0061204|tt0089283|tt0066471|tt0063443|tt0065969|tt0071229|tt0092035|tt0069134|tt0271136|tt0091164|tt0092206|tt0090297|tt0073901|tt0085755|tt0078801|tt0232632|tt0307919|tt5556054|tt0063260|tt0103848|tt0071412|tt0085236|tt0067302|tt0076715|tt0101518|tt0073634|tt0069516|tt0061796|tt0062868|tt0074608|tt0119505|tt0094078|tt0073526|tt0133197|tt0050527|tt0167110
nm0000198,Gary Oldman,65,14280881,tt0468569|tt1345836|tt0372784|tt0110413|tt0119116|tt2103281|tt1037705|tt1302011|tt0212985|tt0103874|tt1959563|tt1212450|tt0108399|tt1234721|tt4555426|tt1340800|tt0118571|tt0102138|tt1067106|tt8385148|tt1486185|tt10618286|tt6111574|tt1846589|tt1014763|tt0120738|tt3014866|tt0762125|tt3922818|tt5865326|tt1139668|tt0165832|tt1413495|tt4357394|tt0091954|tt0113870|tt0100685|tt0110116|tt0208874|tt0100519|tt0115632|tt23853982|tt0120800|tt0114345|tt0107983|tt9731682|tt8075016|tt2461520|tt0093776|tt0316768|tt0473333|tt5834854|tt0097125|tt1675161|tt0379240|tt0096294|tt0099242|tt0307466|tt0215516|tt1206086|tt1626175|tt0096427|tt13060796|tt0082983|tt3239932
nm0000129,Tom Cruise,44,13803307,tt1745960|tt1631867|tt0181689|tt1483013|tt0095953|tt1229238|tt0092099|tt0117060|tt0407304|tt0325710|tt0369339|tt2381249|tt0120663|tt0317919|tt4912910|tt0120755|tt0790724|tt0110148|tt0175880|tt9603212|tt0104257|tt0116695|tt0259711|tt0985699|tt9603208|tt3532216|tt1013743|tt2345759|tt3393786|tt0106918|tt0096969|tt0086066|tt0086200|tt0099371|tt0090863|tt0094889|tt1336608|tt0089469|tt0104231|tt0891527|tt0083169|tt0085154|tt0085868|tt0290296
nm0000136,Johnny Depp,60,13056953,tt0325980|tt0383574|tt0449088|tt1298650|tt0367594|tt0099487|tt1014759|tt0162661|tt0408236|tt1790809|tt0119008|tt1152836|tt4123430|tt0121164|tt1192628|tt0120669|tt1077368|tt0087800|tt0221027|tt0108550|tt1243957|tt1210819|tt2209764|tt0363988|tt0308644|tt0142688|tt0241303|tt1355683|tt0109707|tt0285823|tt0120681|tt2567026|tt0376136|tt0112817|tt3045616|tt3099498|tt0099329|tt0106387|tt0138304|tt0112883|tt0106307|tt0113972|tt6865690|tt0375920|tt0247196|tt9179096|tt2677722|tt17277414|tt3838992|tt6149154|tt2296777|tt0118768|tt1333667|tt0089839|tt3317522|tt0381270|tt1885299|tt0181833|tt7604980|tt24855120
nm0005212,Ian McKellen,52,12951932,tt0120737|tt0167260|tt0167261|tt0903624|tt1877832|tt1170358|tt0120903|tt2310332|tt0290334|tt0376994|tt0382625|tt0486655|tt0385752|tt0424095|tt3168230|tt5563334|tt0118636|tt0120684|tt0111143|tt0108149|tt0085780|tt0114279|tt0114272|tt12108622|tt0418004|tt13457790|tt9206798|tt0098260|tt34966562|tt0113448|tt0348505|tt0763304|tt4155534|tt0339334|tt0120257|tt0106350|tt0064000|tt0338001|tt0419722|tt0082940|tt0065085|tt0111440|tt9055926|tt1942920|tt20598076|tt0795458|tt0090372|tt0262709|tt6905678|tt3773060|tt12174244|tt4056504
nm0262635,Chris Evans,37,12753118,tt0848228|tt4154796|tt4154756|tt2395427|tt1843866|tt0458339|tt3498820|tt8946378|tt1706620|tt0120667|tt0486576|tt0448134|tt1649418|tt4481414|tt14948432|tt10298810|tt0421073|tt0277371|tt0465580|tt0480255|tt0337921|tt30253473|tt0770703|tt1491044|tt15326988|tt0453556|tt0443465|tt15257160|tt2139555|tt30645201|tt0314498|tt0449061|tt1582248|tt0401420|tt0896031|tt32268992|tt5629084
