sale_date,sale_price,class,class_description,property_group,city,zip_code,township_name,municipality,chicago_community_area,latitude,longitude,year_built,building_sqft,land_sqft,bedrooms,rooms,full_baths,half_baths,deed_type,is_multisale,num_parcels_sale,filter_same_sale_within_365,filter_less_than_10k,filter_deed_type
2025-01-01,475000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,CHICAGO,60634,Jefferson,CITY OF CHICAGO,DUNNING,41.942,-87.793,1937,1104,3750,3,5,1,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-01,607000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,CHICAGO,60630,Jefferson,CITY OF CHICAGO,ALBANY PARK,41.974,-87.738,1923,1296,3810,4,7,2,0,Trustee,FALSE,1,FALSE,FALSE,FALSE
2025-01-01,795000,206,"Two or more story residence, over 62 years, 2,201 to 4,999 sq. ft.",Single-Family,CHICAGO,60653,South Chicago,CITY OF CHICAGO,DOUGLAS,41.830,-87.619,1888,3446,1421,4,9,3,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-01,810000,211,"Apartment building with 2 to 6 units, any age",Multi-Family,CHICAGO,60639,Jefferson,CITY OF CHICAGO,BELMONT CRAGIN,41.919,-87.766,2022,4224,6275,9,18,6,,Warranty,TRUE,2,FALSE,FALSE,FALSE
2025-01-01,810000,211,"Apartment building with 2 to 6 units, any age",Multi-Family,CHICAGO,60639,Jefferson,CITY OF CHICAGO,BELMONT CRAGIN,41.919,-87.767,2022,4224,3137,9,18,6,,Warranty,TRUE,2,FALSE,FALSE,FALSE
2025-01-02,1070000,206,"Two or more story residence, over 62 years, 2,201 to 4,999 sq. ft.",Single-Family,OAK PARK,60302,Oak Park,VILLAGE OF OAK PARK,,41.894,-87.787,1903,2668,8600,5,8,3,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,110000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,CHICAGO,60628,Lake,CITY OF CHICAGO,WASHINGTON HEIGHTS,41.713,-87.641,1966,1100,3125,3,6,1,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,120000,202,"One story residence, any age, up to 999 sq. ft.",Single-Family,CHICAGO,60620,Lake,CITY OF CHICAGO,CHATHAM,41.746,-87.634,1930,960,3558,2,5,1,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,120000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,SOUTH CHICAGO HEIGHTS,60411,Bloom,VILLAGE OF SOUTH CHICAGO HEIGHTS,,41.480,-87.646,1956,1073,5400,3,5,1,1,Trustee,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,121550,205,"Two or more story residence, over 62 years, up to 2,200 sq. ft",Single-Family,CHICAGO,60619,Hyde Park,CITY OF CHICAGO,CHATHAM,41.736,-87.609,1950,1200,4125,3,5,1,0,Other,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,1270000,205,"Two or more story residence, over 62 years, up to 2,200 sq. ft",Single-Family,WILMETTE,60091,New Trier,VILLAGE OF WILMETTE,,42.084,-87.717,1938,1952,6250,3,5,2,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,132000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,CHICAGO,60629,Lake,CITY OF CHICAGO,CHICAGO LAWN,41.774,-87.694,1919,1012,3750,2,5,1,0,Other,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,135000,299,Condominium,Condominium,NORTHLAKE,60164,Leyden,CITY OF NORTHLAKE,,41.922,-87.911,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,145000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,CHICAGO,60651,West Chicago,CITY OF CHICAGO,AUSTIN,41.897,-87.748,1918,1016,4477,2,4,1,0,Other,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,152000,299,Condominium,Condominium,PALATINE,60074,Palatine,VILLAGE OF PALATINE,,42.135,-88.014,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,153000,299,Condominium,Condominium,CHICAGO,60611,North Chicago,CITY OF CHICAGO,NEAR NORTH SIDE,41.896,-87.624,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,159000,299,Condominium,Condominium,ELGIN,60120,Hanover,CITY OF ELGIN,,42.029,-88.251,,,,,,,,Other,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,162500,299,Condominium,Condominium,CHICAGO,60613,Lake View,CITY OF CHICAGO,LAKE VIEW,41.953,-87.646,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,169000,299,Condominium,Condominium,PALOS HILLS,60465,Palos,CITY OF PALOS HILLS,,41.706,-87.829,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,178000,299,Condominium,Condominium,Oak Lawn,60453,Worth,VILLAGE OF OAK LAWN,,41.719,-87.768,,,,,,,,Warranty,TRUE,2,FALSE,FALSE,FALSE
2025-01-02,178000,299,Condominium,Condominium,Oak Lawn,60453,Worth,VILLAGE OF OAK LAWN,,41.719,-87.768,,,,,,,,Warranty,TRUE,2,FALSE,FALSE,FALSE
2025-01-02,1800000,299,Condominium,Condominium,CHICAGO,60611,North Chicago,CITY OF CHICAGO,NEAR NORTH SIDE,41.889,-87.616,,,,,,,,Warranty,TRUE,3,FALSE,FALSE,FALSE
2025-01-02,1800000,299,Condominium,Condominium,CHICAGO,60611,North Chicago,CITY OF CHICAGO,NEAR NORTH SIDE,41.889,-87.616,,,,,,,,Warranty,TRUE,3,FALSE,FALSE,FALSE
2025-01-02,1800000,299,Condominium,Condominium,CHICAGO,60611,North Chicago,CITY OF CHICAGO,NEAR NORTH SIDE,41.889,-87.616,,,,,,,,Warranty,TRUE,3,FALSE,FALSE,FALSE
2025-01-02,1850000,278,"Two or more story residence, up to 62 years, 2,001 to 3,800 sq. ft.",Single-Family,CHICAGO,60618,Lake View,CITY OF CHICAGO,NORTH CENTER,41.937,-87.682,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
