ASSET_ID,LINES,DESCRIPTIO,EDIT_INIT,EDIT_DATE
21200136.0,UP-NW,Gladstone Park (10.1) to Norwood Park (11.4),hm,1995-08-02
21200137.0,Milw-N,Forest Glen (10.2) to Edgebrook (11.6),hm,1995-08-02
21200138.0,Milw-W,Bensenville (17.2) to Wood Dale (19.1),hm,1995-08-02
21200139.0,Milw-W,Mannheim (14.0) to Bensenville (17.2),hm,1995-08-02
21200141.0,UP-W,Berkeley (14.3) to Elmhurst (15.7),hm,1995-08-02
21200144.0,UP-W,Lombard (19.9) to Glen Ellyn (22.4),hm,1995-08-02
21200148.0,Milw-W,Medinah (23.0) ot Roselle (23.9),hm,1995-08-02
21200149.0,Milw-W,Roselle (23.9) to Schaumburg (26.5),hm,1995-08-02
21200156.0,UP-N,Wilmette (14.4) to Kenilworth (15.2),hm,1995-08-02
21200158.0,UP-N,Indian Hill (15.8) to Winnetka (16.6),hm,1995-08-02
21200160.0,UP-N,Central St. (13.3) to Wilmette (14.4),hm,1995-08-02
21200164.0,UP-NW,Park Ridge to Dee Road,hm,1995-08-02
21200165.0,Milw-N,Edgebrook (11.6) to Morton Grove (14.3),hm,1995-08-02
21200166.0,Milw-N,Morton Grove (14.3) to Golf (16.2),hm,1995-08-02
21200167.0,Milw-N,Golf (16.2) to Glenview (17.4),hm,1995-08-02
21200171.0,UP-NW,Arlington Heights (22.8) to Arlington Park (24.4),hm,1995-08-02
21200172.0,UP-NW,Arlington Park (24.4) to Palatine (26.8),hm,1995-08-02
21200202.0,Milw-N,Mayfair (9.0) to Forest Glen (10.2),hm,1995-08-02
21200204.0,UP-NW,Irving Park (7.0) to Jefferson Park (9.1),hm,1995-08-02
21200219.0,UP-NW,Des Plaines to Cumberland,hm,1995-08-02
21200224.0,"Milw-W, NCS",Elmwood Park (10.2) to River Grove (11.4),hm,1995-08-02
21200232.0,UP-W,Bellwood (12.6) to Berkeley (14.3),hm,1995-08-02
21200233.0,UP-W,Melrose Park (11.3) to Bellwood (12.6),hm,1995-08-02
21200019.0,"Electric, S. Shore",83rd St. (10.4) to 87th St. (10.9),hm,1995-08-02
21200029.0,Electric-South Corridor,87th St. (12.5) to 91st St. (13.0),hm,1995-08-02
21200030.0,Electric-South Corridor,83rd St. (12.0) to 87th St. (12.5),hm,1995-08-02
21200051.0,Rock Is.-Branch,91st St. (11.3) to 95th St. (11.7),hm,1995-08-02
21200052.0,Rock Is.-Branch,Gresham Junction to Brainerd (10.6),hm,1995-08-02
21200054.0,Rock Is.,Gresham (9.8) to Gresham Junction (10.0),hm,1995-08-02
21200067.0,Electric-South Corridor,South Shore (10.3) to Windsor Park (10.9),hm,1995-08-02
21200068.0,Electric-South Corridor,Bryn Mawr (9.7) to South Shore (10.3),hm,1995-08-02
21200072.0,"Electric, S. Shore",53rd St. (6.5) to 55th-56th-57th St. (7.0),hm,1995-08-02
21200073.0,"Electric, S. Shore",47th St. (5.9) to 53rd St. (6.5),hm,1995-08-02
21200074.0,"Electric, S. Shore",27th St. (3.2) to 47th St. (5.9),hm,1995-08-02
21200080.0,"Electric, S. Shore",79th St. (10.0) to 83rd St. (10.4),hm,1995-08-02
21200081.0,"Electric, S. Shore",67th St. Junction to 75th Street (9.3),hm,1995-08-02
21200083.0,"Electric, S. Shore",55th-56th-57th St. (7.0) to 59th St. (7.4),hm,1995-08-02
21200086.0,SWS,Wrightwood (11.9) to Ashburn (12.6),hm,1995-08-02
21200142.0,UP-W,Elmhurst (15.7) to Villa Park (17.8),aef,2001-01-08
21200143.0,UP-W,Villa Park (17.8) to Lombard (19.9),aef,2001-01-08
21200145.0,UP-W,Glen Ellyn (22.4) to College Ave. (23.8),hm,1995-08-02
21200146.0,Milw-W,Wood Dale (19.1) to Itasca (21.1),hm,1995-08-02
21200154.0,UP-N,Rogers Park (9.4) to Main St. (11.0),hm,1995-08-02
21200157.0,UP-N,Kenilworth (15.2) to Indian Hill (15.8),hm,1995-08-02
21200159.0,UP-N,Winnetka (16.6) to Hubbard Woods (17.7),hm,1995-08-02
21200162.0,UP-NW,Norwood Park (11.4) to Edison Park (12.6),hm,1995-08-02
21200168.0,UP-NW,Dee Road to Des Plaines,hm,1995-08-02
21200169.0,UP-NW,Cumberland to Mount Prospect,hm,1995-08-02
21200239.0,NCS,O'Hare (17.1) to Deval (20.6),nls,1997-02-19
21200004.0,UP-W,Clinton St. Junction to Western Ave. Interlocking,aef,2001-11-05
21200020.0,"Electric, S. Shore",87th St. (10.9) to 91st St. (11.4),hm,1995-08-02
21200053.0,Rock Is.-Branch,Brainerd (10.6) to 91st St. (11.3),hm,1995-08-02
21200055.0,Rock Is.-Main,Gresham Junction to Longwood (10.9),hm,1995-08-02
21200057.0,SWS,Asburn (12.6) to Oak Lawn (15.2),hm,1995-08-02
21200065.0,Electric-South Corridor,Cheltenham (11.5) to 83rd St. (12.0),hm,1995-08-02
21200066.0,Electric-South Corridor,Windsor Park (10.9) to Cheltenham (11.5),hm,1995-08-02
21200069.0,Electric-South Corridor,67th St. Junction to Bryn Mawr (9.7),hm,1995-08-02
21200070.0,Electric-South Corridor,Stony Island (9.1) to Bryn Mawr (9.7),hm,1995-08-02
21200071.0,"Electric, S. Shore",63rd St. (7.9) to 67th St. Junction,hm,1995-08-02
21200076.0,"Electric, S. Shore",McCormick Place (2.7) to 27th St. (3.2),hm,1995-08-02
21200082.0,"Electric, S. Shore",75th St. (9.3) to 79th St. (10.0),hm,1995-08-02
21200085.0,SWS,Wrightwood (11.9) to 21st St. Interlocking,aef,2001-01-08
21200119.0,"Milw-N, Milw-W, NCS",Western Ave. (2.9) to Pacific Junction (A-5),hm,1995-08-02
21200120.0,"Milw-N, Milw-W, NCS",Western Ave. Interlocking to Western Ave. (2.9),aef,2001-11-05
21200124.0,UP-W,Kedzie (3.6) to Oak Park (8.5),hm,1995-08-02
21200125.0,UP-W,Oak Park (8.5) to River Forest (9.7),hm,1995-08-02
21200126.0,UP-W,River Forest (9.7) to Maywood (10.5),hm,1995-08-02
21200140.0,Milw-W,Franklin Park (13.2) to Mannheim (14.0),hm,1995-08-02
21200147.0,Milw-W,Itasca (21.1) to Medinah (23.1),hm,1995-08-02
21200155.0,UP-N,Main St. (11.0) to Davis St. (12.0),hm,1995-08-02
21200170.0,UP-NW,Mount Prospect (20.0) to Arlington Heights (22.8),hm,1995-08-02
21200197.0,"Heritage, SWS",16th St. Junction to 21st St. Interlocking,hm,1995-08-02
21200241.0,NCS,Prospect Heights (24.0) to Wheeling (27.2),nls,1997-02-19
21200005.0,"BNSF, Heritage, SWS",Union Station (South) to 16th St. Junction,hm,1995-07-25
21200084.0,"Electric, S. Shore",59th St. (7.4) to 63rd St. (7.9),hm,1995-08-02
21200090.0,Heritage,Summit (11.9) to Willow Springs (17.5),hm,1995-08-02
21200118.0,UP-W,Western Ave. Interlocking to Kedzie (3.6),hm,1995-08-02
21200127.0,UP-W,Maywood (10.5) to Melrose Park (11.3),hm,1995-08-02
21200198.0,Heritage,21st St. Interlocking to Summit (11.9),hm,1995-08-02
21200209.0,"Electric, S. Shore",91st St. (11.4) to 95th St. (12.0),hm,1995-08-02
21200260.0,BNSF,Westmont (19.5) to Fairview Ave. (20.4),ml,2001-02-13
21200261.0,BNSF,Fairview Avenue (20.4) to Main St. (21.2),ml,2001-02-13
21200262.0,BNSF,Main St. (21.2) to Belmont (22.6),ml,2001-02-13
21200263.0,BNSF,Belmont (22.6) to Lisle (24.5),ml,2001-02-13
21200264.0,BNSF,Riverside (11.1) to Hollywood (11.8),ml,2001-02-13
21200265.0,BNSF,Hollywood (11.8) to Brookfield (12.3),ml,2001-02-13
21200266.0,BNSF,Brookfield (12.3) to Congress Park (13.1),ml,2001-02-13
21200267.0,BNSF,Congress Park (13.1) to LaGrange Rd. (13.8),ml,2001-02-13
21200268.0,BNSF,LaGrange Rd. (13.8) to Stone Ave. (14.2),ml,2001-02-13
21200269.0,BNSF,Stone Ave. (14.2) to Western Springs (15.5),ml,2001-02-13
21200270.0,BNSF,Western Springs (15.5) to Highlands (16.4),ml,2001-02-13
21200271.0,BNSF,Highlands (16.4) to Hinsdale (16.9),ml,2001-02-13
21200272.0,BNSF,Hinsdale (16.9) to West Hinsdale (17.8),ml,2001-02-13
21200273.0,BNSF,West Hinsdale (17.8) to Clarendon Hills (18.3),ml,2001-02-13
21200087.0,BNSF,16th St. Junction to Halsted (1.8),ml,2001-02-13
21200274.0,BNSF,Clarendon Hills (18.3) to Westmont (19.5),ml,2001-02-13
21200275.0,BNSF,Halsted St. (1.8)  to Western Ave. (3.8),ml,2001-02-13
21200276.0,BNSF,Western Ave. (3.8) to Cicero (7.0),ml,2001-02-13
21200277.0,BNSF,Clyde (8.5) to LaVergne (9.1),ml,2001-02-13
21200278.0,BNSF,LaVergne (9.1) to Berwyn (9.6),ml,2001-02-13
21200279.0,BNSF,Berwyn (9.6) to Harlem Ave. (10.1),ml,2001-02-13
21200280.0,BNSF,Harlem Ave. (10.1) to Riverside (11.1),ml,2001-02-13
21200281.0,BNSF,Cicero (7.0) to Clyde (8.5),ml,2001-02-13
21200282.0,BNSF,Lisle (24.5) to Naperville (28.5),ml,2001-02-13
21200283.0,BNSF,Naperville (28.5) to Route 59 (31.6),ml,2001-02-13
21200284.0,BNSF,Route 59 (31.6) to Aurora (37.5),ml,2001-02-13
21200234.0,"Electric, S. Shore",Randolph St. to Van Buren St. (0.8),aef,2001-03-08
21200235.0,"Electric, S. Shore",Van Buren St. (0.8) to Roosevelt Rd. (1.4),aef,2001-03-08
21200079.0,"Electric, S. Shore",Roosevelt Rd. (1.4) to 11th Pl. Divide,hm,1995-08-02
21200077.0,Electric,11th Pl. Divide to 18th St. (2.2),aef,2001-03-08
