OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN
224,17257.0,51217257.0,Fort Sheridan,Fort Sheridan,UP-N,17,1,25.7,F,0,A,1,314,,461 W. Old Elm Rd.,,,,0,ks,1995-08-02,
225,17283.0,51217283.0,Lake Forest,Lake Forest,UP-N,17,1,28.3,F,0,A,1,62,,691 N. Western Ave.,Lake Forest,,,0,ks,1995-08-02,
226,17302.0,51217302.0,Lake Bluff,Lake Bluff,UP-N,17,1,30.2,G,0,A,1,0,,600 N. Sheridan Rd.,Lake Bluff,,,0,ks,1995-08-02,
227,17322.0,51217322.0,Great Lakes,Great Lakes,UP-N,17,1,32.2,G,0,N,0,0,,2840 S. Sheridan Rd.,North Chicago,,,0,ks,1995-09-14,
228,17332.0,51217332.0,North Chicago,North Chicago,UP-N,17,1,33.7,G,0,A,1,0,,1633 Lakeside,North Chicago,,,0,ks,1995-08-02,
229,17359.0,51217359.0,Waukegan,Waukegan,UP-N,17,1,35.9,H,0,A,1,0,,95 N. Spring St.,Waukegan,,,0,ks,1995-08-02,
230,17421.0,51217421.0,Zion,Zion,UP-N,17,1,42.1,I,0,A,1,0,,2501 S. Eden Rd.,Zion,,,0,ks,1995-08-02,
231,17445.0,51217445.0,Winthrop Harbor,Winthrop Harbor,UP-N,17,1,44.5,I,0,A,1,0,,701 N. Main St.,Winthrop Harbor,,,0,ks,1995-08-02,
232,17516.0,51217516.0,Kenosha,Kenosha,UP-N,17,1,51.5,K,0,N,1,0,,5414 13th Ave.,Winthrop Harbor,,,0,aef,2001-01-08,
233,0.0,0.0,Hammond,Hammond,S. Shore,3,1,0.0,,0,,0,0,,4531 Hohman Ave,Hammond,,,0,af,2005-09-22,
234,0.0,0.0,East Chicago,East Chicago,S. Shore,3,1,0.0,,0,,0,0,,5615 Indianapolis Blvd,East Chicago,,,0,af,2005-09-22,
235,0.0,0.0,Gary Metro,Gary Metro,S. Shore,3,1,0.0,,0,,0,0,,200 West 4th Ave,Gary,,,0,af,2005-09-22,
236,0.0,0.0,Miller,Miller,S. Shore,3,1,0.0,,0,,0,0,,Lake Street and U.S. Highway 12,Gary,,,0,af,2005-09-22,
237,0.0,0.0,Ogden Dunes,Ogden Dunes,S. Shore,3,1,0.0,,0,,0,0,,Hillcrest Road and U.S. Highway 12,Portage,,,0,af,2005-09-22,
238,0.0,0.0,Dune Park,Dune Park,S. Shore,3,1,0.0,,0,,0,0,,33 East U.S. Highway 12,Chesterton,,,0,af,2005-09-22,
239,0.0,0.0,Gary Airport,Gary/Chicago Airport,S. Shore,3,1,0.0,,0,,0,0,,Clark Rd and U.S. Highway 12,Gary,,,0,af,2005-09-22,
240,0.0,0.0,Washington St,Washington St,NCS,16,1,0.0,I,0,,0,0,,330 W Washington St,Grayslake,,,0,af,2011-04-28,
241,0.0,0.0,Prairie Crossing,Prairie Crossing/Libertyville,Milw-N,15,1,0.0,H,0,,0,0,,3001 Harris Rd,Libertyville,,,0,af,2011-04-28,
242,0.0,0.0,Rosemont,Rosemont,NCS,16,1,0.0,D,0,,0,0,,10005 Balmoral Ave,Rosemont,,,0,af,2011-04-28,
243,0.0,0.0,Schiller Park,Schiller Park,NCS,16,1,0.0,C,0,,0,0,,4555 Ruby St,Schiller Park,,,0,af,2011-04-28,
244,0.0,0.0,Belmont Ave,Belmont Ave,NCS,16,1,0.0,C,0,,0,0,,9280 Belmont Ave,Franklin Park,,,0,af,2011-04-28,
245,0.0,0.0,Grand-Cicero,Grand-Cicero,Milw-W,12,1,0.0,B,0,,0,0,,1833 N Cicero Ave,Chicago,,,0,af,2011-04-28,
246,0.0,0.0,Laraway Road,New Lenox Laraway Road,SWS,8,1,0.0,H,0,,0,0,,1861 Village Station Blvd,New Lenox,,,0,af,2011-04-28,
247,0.0,0.0,Joliet,Joliet,"Rock Is., Heritage",6,1,0.0,H,2,,0,0,,50 E Jefferson St,Joliet,,,0,af,2011-04-28,
