OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN
103,10169.0,51210169.0,Hinsdale,Hinsdale,BNSF,10,1,16.9,D,0,A,1,78,,1 E. Hinsdale Ave.,Hinsdale,,,150,aef,2001-02-13,
104,10178.0,51210178.0,West Hinsdale,West Hinsdale,BNSF,10,1,17.8,D,2,M,1,0,,Hinsdale Ave. and Stough St.,Hinsdale,,,150,aef,2001-02-13,
105,10183.0,51210183.0,Clarendon Hills,Clarendon Hills,BNSF,10,1,18.3,D,2,M,1,74,,1 S. Prospect Ave.,Clarendon Hills,,,150,aef,2001-02-13,
106,10195.0,51210195.0,Westmont,Westmont,BNSF,10,1,19.5,D,0,A,1,60,,1 W. Quincy,Westmont,,,150,aef,2001-02-13,
107,10204.0,51210204.0,Fairview Ave.,Fairview Avenue (Downers Grove),BNSF,10,1,20.4,E,2,M,1,22,,Fairview Ave. and Burlington Ave.,Downers Grove,,,150,aef,2001-02-13,
108,10212.0,51210212.0,Main St.,Main Street (Downers Grove),BNSF,10,1,21.2,E,0,A,1,82,,5001 Main St.,Downers Grove,,,150,aef,2001-02-13,
109,10226.0,51210226.0,Belmont,Belmont,BNSF,10,1,22.6,E,0,A,1,24,,5000 Belmont Ave.,Downers Grove,,,150,aef,2001-02-13,
110,10245.0,51210245.0,Lisle,Lisle,BNSF,10,1,24.5,E,0,N,1,42,,1000 Front St.,Lisle,,,150,aef,2001-02-13,
111,10285.0,51210285.0,Naperville,Naperville,BNSF,10,1,28.5,F,0,A,1,78,,105 E. 4th Ave.,Naperville,,,150,aef,2001-02-13,
112,10316.0,51210316.0,Route 59,Route 59,BNSF,10,1,31.6,G,0,A,1,37,,1090 N. Route 59,Aurora,,,150,aef,2001-02-13,
113,10380.0,51210380.0,Aurora,Aurora,BNSF,10,1,37.5,H,0,A,1,15,,233 N. Broadway,Aurora,,,180,aef,2001-02-13,
114,11036.0,51211036.0,Kedzie,Kedzie,UP-W,11,1,3.6,A,1,N,0,0,,Kedzie Ave. and Carroll Ave.,Chicago,,,30,ks,1995-08-02,
115,11085.0,51211085.0,Oak Park,Oak Park (Marion Street),UP-W,11,1,8.5,B,0,N,1,45,,103 N. Marion St.,Oak Park,,,45,ks,1995-08-02,
116,11097.0,51211097.0,River Forest,River Forest,UP-W,11,1,9.7,B,1,N,1,0,,8001 W. Central St.,River Forest,,,45,ks,1995-08-02,
117,11105.0,51211105.0,Maywood,Maywood,UP-W,11,1,10.5,C,2,M,1,0,,450 W. St. Charles,Maywood,,,45,ks,1995-08-02,
118,11113.0,51211113.0,Melrose Park,Melrose Park,UP-W,11,1,11.3,C,2,M,1,0,,1801 W. Main St.,,,,45,ks,1995-08-02,
119,11126.0,51211126.0,Bellwood,Bellwood,UP-W,11,1,12.6,C,2,M,1,0,,105 Frederick Ave.,Bellwood,,,45,ks,1995-09-14,
120,11143.0,51211143.0,Berkeley,Berkeley,UP-W,11,1,14.3,C,0,A,1,0,,5900 W. Park Ave.,Berkeley,,,45,ks,1995-08-02,
121,11157.0,51211157.0,Elmhurst,Elmhurst,UP-W,11,1,15.7,D,0,A,1,64,,128 W. 1st St. (at York Rd.),Elmhurst,,,45,ks,1995-08-02,
122,11178.0,51211178.0,Villa Park,Villa Park,UP-W,11,1,17.8,D,0,A,1,11,,Ardmore Ave. and 1st St.,Villa Park,,,45,ks,1995-08-02,
123,11199.0,51211199.0,Lombard,Lombard,UP-W,11,1,19.9,D,0,A,1,30,,9 S. Main St.,Lombard,,,45,ks,1995-08-02,
