station,station_id,line,run,destination,direction,collected,shown,minutes,expected
UIC-Halsted,40350,Blue,139,O'Hare,O'Hare,2026-09-15 20:47:20,5 min,5,2026-09-15 20:52:20
UIC-Halsted,40350,Blue,145,O'Hare,O'Hare,2026-09-15 20:47:20,21 min,21,2026-09-15 21:08:20
UIC-Halsted,40350,Blue,222,O'Hare,O'Hare,2026-09-15 20:47:20,26 min,26,2026-09-15 21:13:20
UIC-Halsted,40350,Blue,134,Forest Park,Forest Park,2026-09-15 20:47:20,4 min,4,2026-09-15 20:51:20
UIC-Halsted,40350,Blue,234,Forest Park,Forest Park,2026-09-15 20:47:20,16 min,16,2026-09-15 21:03:20
UIC-Halsted,40350,Blue,135,Forest Park,Forest Park,2026-09-15 20:47:20,26 min,26,2026-09-15 21:13:20
UIC-Halsted,40350,Blue,219,Forest Park,Forest Park,2026-09-15 20:47:20,35 min,35,2026-09-15 21:22:20
UIC-Halsted,40350,Blue,146,Forest Park,Forest Park,2026-09-15 20:47:20,44 min,44,2026-09-15 21:31:20
Washington/Wells,40730,Brown,422,Kimball,Outer Loop,2026-09-15 20:47:23,2 min,2,2026-09-15 20:49:23
Washington/Wells,40730,Brown,433,Kimball,Outer Loop,2026-09-15 20:47:23,11 min,11,2026-09-15 20:58:23
Washington/Wells,40730,Brown,427,Kimball,Outer Loop,2026-09-15 20:47:23,20 min,20,2026-09-15 21:07:23
Washington/Wells,40730,Brown,423,Kimball,Outer Loop,2026-09-15 20:47:23,27 min,27,2026-09-15 21:14:23
Washington/Wells,40730,Pink,315,54th/Cermak,Inner Loop,2026-09-15 20:47:23,13 min,13,2026-09-15 21:00:23
Washington/Wells,40730,Orange,718,Midway,Inner Loop,2026-09-15 20:47:23,18 min,18,2026-09-15 21:05:23
Washington/Wells,40730,Pink,319,54th/Cermak,Inner Loop,2026-09-15 20:47:23,23 min,23,2026-09-15 21:10:23
Washington/Wells,40730,Pink,313,54th/Cermak,Inner Loop,2026-09-15 20:47:23,34 min,34,2026-09-15 21:21:23
